,cluster,lsat,ugpa,zfygpa,zgpa,fulltime,fam_inc,age,gender,race1,race2,race3,race4,race5,race6,race7,race8
31,1.0,39.0,3.4,1.0,0.19,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
32,3.0,32.0,3.2,-1.48,-1.65,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
33,1.0,30.0,3.2,-1.38,-1.32,1.0,3.0,-61.0,1,0,0,0,0,0,0,1,0
34,3.0,38.0,2.9,-1.51,-0.31,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
35,4.0,31.0,2.6,-1.26,-1.87,1.0,5.0,-59.0,0,0,1,0,0,0,0,0,0
36,3.0,33.0,2.5,-0.32,-1.27,1.0,4.0,-58.0,0,0,0,0,0,0,0,1,0
37,4.0,41.0,3.0,0.49,0.38,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
38,3.0,40.0,3.7,-0.75,-0.73,1.0,3.0,-59.0,1,0,0,0,0,0,0,1,0
39,3.0,34.0,2.7,-1.71,-1.54,1.0,4.0,-60.0,0,0,0,0,0,0,0,1,0
40,4.0,25.0,3.3,-0.09,-0.24,1.0,2.0,-61.0,1,0,0,1,0,0,0,0,0
41,5.0,44.0,3.8,0.78,1.4,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
42,1.0,35.5,3.6,-0.09,0.38,1.0,2.0,-53.0,0,0,0,0,0,0,0,1,0
43,4.0,38.0,3.0,-1.23,-0.86,1.0,5.0,-61.0,0,0,0,0,0,0,0,1,0
44,4.0,48.0,3.8,0.86,0.99,1.0,2.0,-56.0,1,0,0,0,0,0,0,1,0
45,3.0,37.0,3.6,1.45,1.39,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
46,1.0,35.0,3.5,0.26,0.26,1.0,4.0,-58.0,0,0,0,0,0,0,0,1,0
47,3.0,37.0,3.1,1.33,0.65,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
48,1.0,42.0,3.2,0.58,0.74,1.0,4.0,-59.0,0,0,0,0,0,0,0,1,0
49,3.0,37.0,3.8,-0.88,-2.11,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
50,1.0,23.5,2.3,-1.38,-1.77,1.0,1.0,-56.0,0,0,0,0,1,0,0,0,0
51,1.0,40.0,3.6,-0.01,-0.02,1.0,4.0,-61.0,1,0,0,0,0,0,1,0,0
52,4.0,37.5,3.0,-0.54,-0.51,2.0,4.0,-58.0,0,0,0,0,0,0,0,1,0
53,3.0,27.0,3.3,1.25,0.41,1.0,2.0,-61.0,1,0,0,1,0,0,0,0,0
54,1.0,24.0,2.6,-1.6,-1.77,1.0,3.0,-61.0,1,0,0,1,0,0,0,0,0
55,3.0,26.0,2.3,-2.05,-1.39,2.0,3.0,-56.0,0,0,0,1,0,0,0,0,0
56,1.0,40.0,3.4,-0.49,-0.57,1.0,3.0,-53.0,0,0,0,0,0,0,0,1,0
57,1.0,39.0,3.5,1.84,1.89,1.0,3.0,-59.0,0,0,0,0,0,0,0,1,0
58,4.0,36.5,3.4,-0.8,-0.87,1.0,2.0,-58.0,1,0,0,0,0,0,0,1,0
59,3.0,37.0,2.2,-0.47,-0.9,2.0,5.0,-52.0,0,0,0,0,0,0,0,1,0
60,1.0,32.0,3.3,0.28,0.0,1.0,2.0,-55.0,1,0,0,0,0,0,0,1,0
61,3.0,19.0,3.2,-0.7,-0.45,1.0,3.0,-62.0,1,0,0,1,0,0,0,0,0
62,3.0,31.5,3.0,-0.44,-0.17,1.0,4.0,-61.0,1,0,0,0,0,0,0,1,0
63,3.0,38.0,2.8,-1.26,-1.86,1.0,2.0,-60.0,0,0,1,0,0,0,0,0,0
64,2.0,27.5,3.1,-0.02,-0.77,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
65,3.0,44.0,3.1,-0.79,-1.34,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
66,1.0,32.0,2.4,-0.53,-0.7,1.0,1.0,-56.0,0,0,0,1,0,0,0,0,0
67,1.0,29.0,2.8,-1.32,-2.31,1.0,2.0,-64.0,0,0,0,0,0,1,0,0,0
68,3.0,36.0,3.3,0.14,0.53,2.0,3.0,-57.0,0,0,0,0,0,0,0,1,0
69,3.0,30.0,3.0,-0.09,-0.61,1.0,3.0,-61.0,0,0,0,0,0,0,0,1,0
70,3.0,34.0,3.4,0.8,0.81,1.0,4.0,-56.0,1,0,0,0,0,0,0,1,0
71,1.0,40.0,3.2,-0.78,-1.25,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
72,1.0,35.0,3.7,-0.37,-0.27,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
73,4.0,42.5,3.6,0.94,0.84,1.0,5.0,-60.0,1,0,0,0,0,0,0,1,0
74,4.0,36.0,2.8,-1.05,-1.47,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
75,1.0,33.0,3.1,-0.81,-1.55,1.0,3.0,-62.0,1,0,0,0,0,0,1,0,0
76,3.0,39.0,3.4,-0.05,-0.35,1.0,4.0,-61.0,1,0,0,0,0,0,0,1,0
77,1.0,39.0,3.8,0.38,-0.06,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
78,4.0,42.0,3.9,-0.18,-0.08,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
79,4.0,31.0,3.0,-1.66,-0.95,1.0,3.0,-57.0,1,0,0,0,0,0,0,1,0
80,2.0,33.0,2.9,1.21,2.3,1.0,4.0,-61.0,1,0,0,0,0,0,0,1,0
81,4.0,38.0,3.3,0.74,0.45,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
82,2.0,39.0,3.7,1.4,1.85,1.0,1.0,-59.0,0,0,0,0,0,0,0,1,0
83,1.0,42.0,3.4,-0.4,0.21,1.0,2.0,-59.0,1,0,0,0,0,0,0,1,0
84,3.0,32.0,3.0,0.56,1.89,2.0,3.0,-52.0,1,0,0,0,0,0,0,1,0
85,5.0,26.0,3.2,-2.22,-2.14,1.0,4.0,-61.0,1,0,0,1,0,0,0,0,0
86,1.0,37.0,3.6,0.5,0.18,1.0,3.0,-59.0,0,0,0,0,0,0,0,1,0
87,3.0,36.0,3.2,2.0,2.31,1.0,4.0,-50.0,1,0,0,0,0,0,0,1,0
88,1.0,38.5,3.6,1.2,1.23,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
89,2.0,30.0,3.2,-1.13,-1.27,1.0,3.0,-48.0,1,0,0,0,0,0,0,1,0
90,3.0,30.0,3.1,0.75,0.8,1.0,5.0,-66.0,0,0,0,0,0,0,0,1,0
91,3.0,39.0,3.1,1.44,0.84,2.0,4.0,-61.0,1,0,0,0,0,0,0,1,0
92,6.0,30.0,2.7,1.14,0.29,1.0,2.0,-57.0,0,0,0,1,0,0,0,0,0
93,2.0,34.0,3.0,-0.55,0.43,2.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
94,4.0,42.0,2.9,1.31,-0.17,1.0,4.0,-59.0,0,0,1,0,0,0,0,0,0
95,3.0,33.0,3.2,0.6,0.17,2.0,2.0,-45.0,0,0,0,0,0,0,0,1,0
96,3.0,24.0,3.0,-1.04,-0.78,1.0,3.0,-55.0,0,0,0,0,0,0,0,1,0
97,5.0,46.0,3.1,2.03,0.98,1.0,3.0,-56.0,0,0,0,0,0,0,0,1,0
98,2.0,31.5,2.6,-0.96,-1.49,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
99,4.0,33.0,3.8,0.77,0.99,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
100,3.0,45.0,3.5,0.15,0.95,1.0,2.0,-49.0,0,0,0,0,0,0,0,1,0
101,3.0,31.0,3.6,1.27,1.05,1.0,4.0,-54.0,1,0,0,0,0,0,0,1,0
102,1.0,38.0,3.0,0.12,0.07,1.0,3.0,-49.0,1,0,0,0,0,0,0,1,0
103,1.0,44.0,3.8,0.21,0.35,1.0,4.0,-63.0,0,0,0,0,0,0,0,1,0
104,3.0,33.0,3.1,-0.45,-0.76,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
105,3.0,36.0,3.6,-0.89,-0.29,1.0,2.0,-47.0,0,0,0,0,0,0,0,1,0
106,3.0,35.0,3.3,-1.06,-0.77,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
107,4.0,32.3,3.2,-1.51,-1.51,1.0,4.0,-65.0,1,0,0,0,0,0,0,1,0
108,3.0,33.0,3.1,-1.42,-1.03,1.0,3.0,-60.0,0,0,0,0,0,0,0,1,0
109,3.0,38.0,3.0,0.48,0.65,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
110,3.0,44.0,2.6,0.26,-0.37,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
111,4.0,28.5,3.4,-2.87,-2.52,1.0,2.0,-66.0,1,0,0,1,0,0,0,0,0
112,1.0,41.0,3.0,-0.46,0.14,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
113,3.0,29.0,3.0,-0.57,-1.02,1.0,2.0,-51.0,0,0,0,0,1,0,0,0,0
114,3.0,37.0,3.9,-0.05,0.0,1.0,4.0,-62.0,0,0,0,0,0,0,0,0,1
115,4.0,43.0,3.5,-0.66,-0.79,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
116,4.0,43.0,3.7,-0.26,-0.4,1.0,4.0,-67.0,0,0,0,0,0,0,0,1,0
117,4.0,33.0,2.6,-1.35,-1.3,2.0,4.0,-50.0,1,0,0,1,0,0,0,0,0
118,4.0,38.0,2.1,-1.81,-1.82,1.0,4.0,-54.0,1,0,0,0,0,0,0,1,0
119,3.0,37.0,2.7,-0.49,-0.78,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
120,3.0,33.0,3.6,0.25,0.5,1.0,2.0,-48.0,1,0,0,0,0,0,0,1,0
121,3.0,37.0,2.9,-0.14,0.1,1.0,4.0,-61.0,1,0,0,0,0,0,0,1,0
122,3.0,28.0,3.2,-0.55,-1.37,1.0,3.0,-60.0,0,0,1,0,0,0,0,0,0
123,3.0,25.0,2.4,-1.29,-1.52,1.0,4.0,-66.0,1,0,0,1,0,0,0,0,0
124,5.0,41.0,2.9,-1.26,-1.07,1.0,4.0,-60.0,0,0,1,0,0,0,0,0,0
125,3.0,27.0,2.7,-1.9,-1.27,1.0,4.0,-60.0,1,0,0,1,0,0,0,0,0
126,4.0,36.0,3.3,-0.38,-0.41,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
127,4.0,42.0,3.5,1.0,0.03,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
128,4.0,47.0,3.6,0.6,0.83,1.0,5.0,-61.0,0,0,0,0,0,0,0,1,0
129,3.0,36.0,2.5,0.07,-0.04,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
130,2.0,26.0,3.2,0.53,-0.76,1.0,4.0,-52.0,0,0,0,0,0,0,0,1,0
131,3.0,34.0,2.8,-1.79,-1.82,1.0,4.0,-55.0,0,0,0,0,0,0,0,1,0
132,6.0,30.0,2.1,0.18,-0.17,1.0,2.0,-57.0,0,0,0,0,1,0,0,0,0
133,3.0,37.0,2.8,-0.09,-0.52,2.0,3.0,-55.0,1,0,0,0,0,0,0,1,0
134,3.0,37.0,2.9,0.15,-0.2,1.0,3.0,-63.0,0,0,0,0,0,0,0,1,0
135,3.0,30.0,3.4,-0.98,-0.67,2.0,3.0,-48.0,0,0,0,0,0,0,0,1,0
136,3.0,37.0,3.4,-0.92,-0.16,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
137,1.0,38.0,3.9,2.41,2.25,2.0,4.0,-58.0,1,0,0,0,0,0,0,1,0
138,4.0,37.5,3.7,0.05,-0.06,1.0,4.0,-52.0,0,0,0,0,0,0,0,1,0
139,1.0,25.0,3.5,-0.26,-0.77,1.0,5.0,-60.0,1,0,0,0,0,0,0,1,0
140,1.0,31.5,3.4,-0.37,-0.42,1.0,3.0,-58.0,1,0,0,0,0,0,0,1,0
141,4.0,26.0,2.8,-0.38,-0.73,1.0,5.0,-58.0,0,0,0,0,0,0,0,1,0
142,1.0,33.0,3.5,-0.95,-1.09,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
143,1.0,38.0,3.7,-0.51,-0.92,1.0,2.0,-60.0,0,0,0,0,0,0,0,0,1
144,4.0,45.0,3.7,0.55,-0.23,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
145,3.0,34.0,2.8,0.26,0.32,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
146,3.0,28.0,2.9,-1.4,-1.73,1.0,4.0,-62.0,1,0,0,1,0,0,0,0,0
147,3.0,34.0,2.9,1.25,1.25,1.0,3.0,-61.0,0,0,0,0,0,0,0,1,0
148,3.0,37.0,2.5,-1.44,-1.4,1.0,5.0,-60.0,0,0,0,0,0,0,0,1,0
149,4.0,37.0,3.9,-0.49,-0.54,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
150,1.0,42.0,3.8,0.92,0.49,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
151,6.0,30.0,2.8,0.05,0.06,1.0,2.0,-60.0,1,0,1,0,0,0,0,0,0
152,6.0,31.0,2.8,2.05,1.59,1.0,3.0,-59.0,1,0,0,0,0,0,0,1,0
153,2.0,35.0,3.5,1.0,1.55,1.0,3.0,-61.0,1,0,0,0,0,0,0,1,0
154,2.0,33.0,3.7,-0.52,-0.33,1.0,2.0,-56.0,0,0,0,0,0,0,0,1,0
155,2.0,29.0,3.3,-1.42,-1.32,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
156,1.0,43.0,3.2,0.26,-0.03,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
157,1.0,26.0,3.5,-0.24,-0.36,1.0,1.0,-61.0,1,0,0,0,0,0,0,1,0
158,1.0,39.0,3.5,-1.11,-0.92,1.0,4.0,-42.0,1,0,0,0,0,0,0,1,0
159,2.0,26.0,2.3,-1.0,-1.58,1.0,3.0,-60.0,1,0,0,1,0,0,0,0,0
160,3.0,25.0,2.3,-1.26,-0.51,2.0,3.0,-59.0,1,0,0,1,0,0,0,0,0
161,1.0,40.0,2.9,-0.28,-0.45,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
162,2.0,32.0,2.7,-0.66,-0.97,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
163,3.0,37.0,2.7,-1.4,-1.65,1.0,3.0,-61.0,1,0,0,0,0,0,0,1,0
164,4.0,40.0,3.9,-0.39,-0.03,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
165,5.0,47.0,4.0,1.71,1.07,1.0,3.0,-58.0,0,0,0,0,0,0,0,1,0
166,3.0,32.0,3.4,0.85,0.52,1.0,1.0,-62.0,1,0,0,0,0,0,0,1,0
167,1.0,44.0,3.6,1.38,1.34,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
168,3.0,34.0,3.1,0.75,0.25,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
169,6.0,30.0,2.6,0.89,0.59,1.0,2.0,-60.0,1,0,0,1,0,0,0,0,0
170,3.0,36.0,3.4,-0.25,-0.42,1.0,3.0,-61.0,0,0,0,0,0,0,0,1,0
171,3.0,35.0,3.3,-1.81,-1.87,1.0,3.0,-59.0,0,0,0,0,0,0,0,1,0
172,2.0,26.0,3.3,-0.66,-1.35,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
173,4.0,27.0,2.9,-1.28,-1.88,1.0,3.0,-57.0,0,0,0,1,0,0,0,0,0
174,2.0,32.0,2.7,0.74,0.61,1.0,5.0,-62.0,1,0,0,0,0,0,0,1,0
175,1.0,37.0,2.2,-1.29,-0.99,2.0,3.0,-33.0,0,0,0,0,0,0,0,1,0
176,3.0,35.0,3.3,-1.52,-1.42,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
177,2.0,27.5,2.4,-0.1,0.21,1.0,4.0,-52.0,0,0,0,0,0,0,0,1,0
178,2.0,35.0,3.4,-0.34,-1.26,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
179,1.0,39.0,3.5,-0.08,-0.3,1.0,4.0,-60.0,0,0,0,0,0,0,0,1,0
180,3.0,37.0,3.3,-0.62,-1.18,1.0,5.0,-62.0,1,0,0,0,0,0,0,1,0
181,2.0,37.0,2.6,-0.48,-0.92,1.0,3.0,-58.0,0,0,0,0,0,0,0,1,0
182,3.0,39.0,3.6,0.2,0.45,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
183,4.0,36.0,3.8,1.85,2.34,1.0,4.0,-60.0,0,0,0,0,0,0,0,1,0
184,2.0,26.5,3.3,-0.75,-1.44,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
185,3.0,39.0,2.7,-0.17,-0.06,1.0,4.0,-59.0,0,0,0,0,0,0,0,1,0
186,4.0,34.5,3.6,1.68,1.24,1.0,4.0,-59.0,0,0,0,0,0,0,0,1,0
187,1.0,40.0,4.0,1.65,1.74,1.0,3.0,-61.0,0,0,0,0,0,0,0,1,0
188,2.0,25.0,2.5,-0.34,-1.7,1.0,5.0,-60.0,0,0,0,0,0,0,0,1,0
189,1.0,38.0,2.6,0.14,-0.79,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
190,1.0,25.0,2.9,-1.82,-1.72,1.0,4.0,-36.0,1,0,0,0,0,0,0,1,0
191,4.0,41.0,3.5,-1.1,-1.61,1.0,4.0,-62.0,1,0,1,0,0,0,0,0,0
192,3.0,37.0,3.8,0.92,0.97,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
193,3.0,39.0,3.2,-0.28,-1.29,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
194,1.0,25.0,2.6,0.04,-0.39,1.0,5.0,-57.0,1,0,0,1,0,0,0,0,0
195,3.0,35.3,3.1,-1.61,-1.74,1.0,3.0,-61.0,0,0,0,0,0,0,0,1,0
196,3.0,40.0,3.5,1.49,1.57,1.0,3.0,-61.0,0,0,0,0,0,0,0,1,0
197,1.0,41.0,3.5,-1.64,-1.44,1.0,5.0,-62.0,1,0,0,0,0,0,0,1,0
198,2.0,29.0,3.4,-0.97,-1.52,1.0,4.0,-60.0,0,0,0,0,0,0,0,1,0
199,2.0,39.0,2.5,0.24,0.15,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
200,2.0,32.5,2.7,-0.17,-0.55,1.0,3.0,-61.0,1,0,0,0,0,0,0,1,0
201,3.0,35.0,3.2,0.19,-0.46,2.0,4.0,-49.0,1,0,0,0,0,0,0,1,0
202,1.0,38.0,3.0,1.53,0.42,1.0,4.0,-53.0,0,0,0,0,0,0,0,1,0
203,1.0,26.0,3.1,-2.06,-2.06,1.0,4.0,-61.0,0,0,0,0,0,1,0,0,0
204,1.0,28.0,2.8,-1.15,-2.03,1.0,3.0,-66.0,0,0,0,1,0,0,0,0,0
205,1.0,37.0,3.1,-0.07,-0.6,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
206,2.0,31.0,3.0,-0.93,-1.49,1.0,3.0,-61.0,1,0,1,0,0,0,0,0,0
207,1.0,36.0,3.3,-0.81,-0.29,1.0,5.0,-57.0,1,0,0,0,0,0,0,1,0
208,4.0,40.0,3.9,0.44,0.37,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
209,1.0,39.0,3.6,0.38,-0.36,1.0,3.0,-52.0,0,0,0,0,0,0,0,1,0
210,3.0,34.0,3.0,-0.83,-1.06,1.0,3.0,-56.0,1,0,0,0,0,0,0,1,0
211,5.0,39.0,3.8,0.79,1.29,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
212,1.0,48.0,3.5,-0.19,-0.09,1.0,4.0,-61.0,1,0,0,0,0,0,0,1,0
213,1.0,41.0,3.6,1.08,0.85,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
214,1.0,38.0,3.7,0.88,1.56,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
215,1.0,26.0,3.1,0.1,-0.66,1.0,4.0,-59.0,1,0,0,0,0,0,0,1,0
216,3.0,34.0,2.2,0.26,0.74,2.0,3.0,-56.0,1,0,0,0,0,0,0,1,0
217,3.0,34.0,2.3,-0.29,-0.67,1.0,3.0,-60.0,1,0,0,1,0,0,0,0,0
218,1.0,38.0,3.8,-1.57,-1.65,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
219,1.0,37.0,3.6,-0.66,-0.02,1.0,2.0,-60.0,1,0,1,0,0,0,0,0,0
220,3.0,38.0,3.5,0.38,-0.3,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
221,4.0,35.5,3.0,-1.14,-1.33,1.0,4.0,-61.0,1,0,0,0,0,0,0,1,0
222,3.0,31.0,3.2,-0.2,-0.63,2.0,3.0,-58.0,0,0,0,0,0,0,0,1,0
223,4.0,27.0,3.6,-1.9,-2.35,1.0,2.0,-60.0,0,0,0,0,0,1,0,0,0
224,1.0,36.0,2.8,-0.97,-1.01,1.0,4.0,-60.0,0,0,0,1,0,0,0,0,0
225,1.0,28.5,2.7,1.44,0.69,1.0,3.0,-61.0,0,0,0,0,0,0,0,1,0
226,1.0,30.0,3.1,1.86,1.14,1.0,2.0,-57.0,1,0,0,0,0,0,0,1,0
227,3.0,36.0,3.1,-0.76,-1.11,1.0,4.0,-60.0,0,0,0,0,0,0,0,1,0
228,3.0,34.0,2.8,0.22,-0.05,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
229,6.0,27.0,3.2,-0.37,-0.42,1.0,2.0,-42.0,1,0,0,0,0,0,0,1,0
230,3.0,39.0,2.8,0.39,0.71,1.0,4.0,-58.0,0,0,0,0,0,0,0,1,0
231,4.0,42.0,2.8,-0.94,-0.62,1.0,3.0,-59.0,0,0,0,0,0,0,0,1,0
232,2.0,39.0,2.8,-0.38,-0.48,1.0,3.0,-59.0,1,0,0,0,0,0,0,1,0
233,3.0,27.0,2.4,-1.11,-0.88,2.0,4.0,-42.0,0,0,0,0,0,0,0,1,0
234,1.0,35.0,2.9,-1.56,-1.77,1.0,1.0,-66.0,0,0,0,0,0,0,1,0,0
235,1.0,23.5,2.6,-1.79,-1.79,1.0,3.0,-59.0,1,0,0,1,0,0,0,0,0
236,1.0,35.0,3.4,-0.28,-0.55,1.0,1.0,-66.0,1,0,0,0,0,0,0,1,0
237,5.0,41.0,3.7,-0.81,-1.48,1.0,2.0,-56.0,1,0,0,0,0,0,0,1,0
238,1.0,30.5,3.2,-1.92,-1.36,1.0,4.0,-62.0,1,0,0,1,0,0,0,0,0
239,4.0,46.0,3.6,0.66,0.61,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
240,4.0,33.0,3.5,0.96,0.97,1.0,2.0,-58.0,0,0,0,0,0,0,0,1,0
241,3.0,30.5,3.1,0.87,0.81,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
242,4.0,34.0,3.5,0.35,0.76,1.0,2.0,-60.0,0,0,0,0,0,0,0,1,0
243,3.0,39.0,3.6,0.62,1.1,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
244,3.0,39.0,4.0,1.25,1.94,1.0,2.0,-62.0,1,0,0,0,0,0,0,1,0
245,3.0,31.0,3.0,-0.39,-1.04,1.0,3.0,-56.0,0,0,1,0,0,0,0,0,0
246,3.0,39.0,3.0,-1.64,-1.93,1.0,5.0,-60.0,0,0,0,0,0,0,0,1,0
247,3.0,28.3,2.8,-0.93,-0.92,1.0,3.0,-59.0,0,0,0,0,0,0,0,1,0
248,3.0,40.0,3.1,-1.22,-1.13,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
249,2.0,42.0,3.5,0.51,0.93,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
250,3.0,23.0,2.7,-1.39,-1.73,1.0,3.0,-61.0,0,0,0,1,0,0,0,0,0
251,1.0,39.0,3.2,-0.51,0.0,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
252,1.0,41.0,3.3,0.22,-0.08,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
253,1.0,31.0,3.5,-1.54,-1.86,1.0,3.0,-52.0,1,0,0,0,0,0,0,1,0
254,6.0,15.0,2.1,-0.61,-0.49,1.0,3.0,-57.0,1,0,0,1,0,0,0,0,0
