,Unnamed: 0,sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,two_year_recid,c_charge_degree_F,c_charge_degree_M,risk_recid,prediction
194,232,1,41,1,0,0,0,0,0,0,1,0,0
195,233,1,52,0,0,0,0,0,0,1,0,0,0
196,234,1,43,0,0,0,0,13,1,1,0,0,1
197,235,1,52,1,0,0,0,0,0,1,0,0,0
198,236,1,28,0,0,0,0,1,0,1,0,0,0
199,237,1,30,1,0,0,2,11,1,0,1,1,1
200,238,1,28,0,0,0,0,1,0,1,0,1,0
201,239,1,22,1,0,0,0,0,0,1,0,0,0
202,240,1,30,1,0,0,0,4,0,1,0,0,1
203,241,1,25,0,0,0,0,4,0,1,0,0,1
204,242,1,31,0,0,0,0,0,1,1,0,1,0
205,243,1,37,0,0,0,0,0,1,1,0,0,0
206,244,1,32,1,0,1,0,14,0,1,0,1,1
207,246,1,53,0,0,0,0,1,0,0,1,0,0
208,247,1,28,1,0,0,0,25,1,1,0,1,1
209,248,1,44,0,0,0,0,8,1,0,1,1,0
210,249,1,25,1,0,0,0,0,0,1,0,0,0
211,250,1,22,0,0,0,1,1,1,0,1,1,1
212,251,0,37,0,0,0,0,0,0,0,1,0,0
213,252,0,40,0,0,0,0,3,0,1,0,0,0
214,258,0,31,0,0,0,0,0,0,0,1,0,0
215,259,1,23,0,0,0,1,1,1,1,0,1,1
216,260,0,23,0,0,0,4,5,1,1,0,1,1
217,261,1,24,0,0,0,0,0,0,0,1,1,0
218,262,1,29,1,0,0,0,1,0,0,1,0,0
219,263,1,20,1,0,0,0,1,1,1,0,1,1
220,264,1,30,1,0,0,0,2,1,1,0,1,0
221,265,1,39,0,0,0,0,0,0,1,0,0,0
222,266,1,27,1,0,0,0,4,0,1,0,0,1
223,268,0,37,1,0,0,0,2,0,1,0,0,0
224,269,1,20,1,0,0,0,0,0,1,0,1,1
225,270,1,22,0,0,0,1,0,0,1,0,1,0
226,271,0,52,1,0,0,0,0,0,1,0,0,0
227,272,0,23,1,0,0,0,0,1,1,0,0,1
228,273,0,48,1,0,0,0,0,0,1,0,0,0
229,275,1,25,0,0,0,0,0,0,1,0,1,0
230,276,1,27,0,0,0,0,0,1,1,0,1,0
231,277,1,30,1,0,0,0,11,1,1,0,1,1
232,278,1,22,1,0,1,1,3,1,0,1,1,1
233,279,0,22,0,0,0,0,1,0,1,0,0,1
234,282,0,41,1,0,0,0,2,0,0,1,0,0
235,283,0,25,0,0,0,0,0,0,1,0,0,0
236,285,1,52,1,0,0,0,3,1,1,0,1,0
237,286,1,43,1,0,0,0,0,0,1,0,0,0
238,287,1,37,0,0,0,0,3,0,1,0,0,0
239,289,1,70,0,0,0,0,1,0,0,1,0,0
240,291,1,46,0,0,0,0,3,0,1,0,0,0
241,292,1,21,1,0,0,0,0,1,0,1,1,0
242,293,1,26,1,0,0,0,1,1,0,1,1,0
243,294,1,38,0,0,0,0,3,1,1,0,0,0
244,295,1,34,0,0,0,0,5,0,0,1,0,0
245,297,1,34,1,0,0,0,5,0,0,1,0,0
246,298,1,23,0,0,0,0,0,1,1,0,1,0
247,299,1,34,1,0,0,0,5,1,1,0,0,1
248,301,1,39,1,0,0,0,6,1,1,0,0,1
249,302,1,24,0,0,0,0,0,0,1,0,0,0
250,304,1,58,0,0,0,0,2,0,1,0,0,0
251,305,0,21,1,0,0,0,0,0,0,1,1,0
252,307,1,23,1,0,0,1,4,1,0,1,1,1
253,308,1,62,0,0,0,0,0,0,1,0,0,0
254,310,1,37,0,0,0,0,5,0,1,0,0,0
255,311,1,43,0,0,0,0,2,1,1,0,0,0
256,312,0,32,1,0,0,0,5,0,1,0,0,1
257,313,1,23,0,0,0,0,0,0,1,0,0,0
258,314,1,27,1,0,0,0,0,0,0,1,0,0
259,315,1,44,0,0,0,0,0,1,0,1,0,0
260,316,1,28,0,0,0,0,3,1,0,1,0,0
261,317,0,42,0,0,0,0,0,0,1,0,0,0
262,318,1,24,0,0,1,0,9,1,1,0,1,1
263,319,1,27,1,0,0,0,0,0,1,0,0,0
264,320,1,20,1,0,0,0,0,1,1,0,1,1
265,321,0,51,0,0,0,0,0,0,0,1,0,0
266,322,1,56,0,0,0,0,0,0,0,1,0,0
267,323,1,29,1,0,0,0,7,0,1,0,1,1
268,324,1,20,1,0,0,0,0,1,1,0,1,1
269,326,1,27,0,0,0,0,8,0,1,0,1,1
270,327,1,24,1,0,1,0,2,1,1,0,1,1
271,328,1,53,0,0,0,0,36,1,1,0,1,1
272,329,1,28,0,0,0,0,2,1,0,1,0,0
273,331,1,21,0,0,1,0,3,0,1,0,1,1
274,332,0,36,1,0,0,0,0,0,1,0,1,0
275,333,0,25,0,0,0,0,2,1,0,1,0,1
276,334,0,23,0,0,0,0,1,0,0,1,0,0
277,335,1,28,0,0,0,0,1,0,1,0,1,0
278,336,0,21,1,0,0,0,0,1,1,0,1,1
279,337,1,36,0,0,0,0,0,0,0,1,0,0
280,338,1,24,1,0,0,0,0,0,1,0,0,0
281,340,1,30,0,0,0,0,1,1,1,0,0,0
282,341,1,29,1,0,0,0,0,0,1,0,0,0
283,342,0,30,0,0,0,0,0,0,0,1,1,0
284,343,1,51,0,0,0,0,1,0,0,1,0,0
285,346,1,32,1,0,1,0,12,1,1,0,1,1
286,347,1,23,1,0,0,1,1,0,1,0,1,1
287,348,1,47,1,0,0,0,3,0,1,0,0,0
288,350,1,37,0,0,0,0,0,0,1,0,0,0
289,351,1,19,1,0,2,0,2,1,1,0,1,1
290,352,1,27,0,0,0,0,0,0,0,1,1,0
291,353,1,39,0,0,0,0,0,0,0,1,0,0
292,354,0,21,0,0,0,2,0,0,1,0,1,1
293,355,1,69,0,0,0,0,0,0,0,1,0,0
294,356,1,21,0,0,0,0,2,0,1,0,1,1
295,357,1,26,1,0,0,1,6,1,0,1,1,1
296,358,1,22,0,0,0,0,0,0,1,0,0,0
297,359,0,23,1,0,0,0,0,1,1,0,1,1
298,360,1,49,1,0,0,0,3,0,1,0,1,0
299,361,1,29,1,0,0,1,2,0,0,1,0,0
300,362,0,60,0,0,0,0,0,0,0,1,0,0
301,364,1,23,1,2,0,0,3,1,1,0,1,1
302,366,0,20,0,1,0,0,1,0,1,0,0,1
303,367,1,36,0,0,0,0,1,0,1,0,0,0
304,368,1,30,0,0,0,0,0,0,1,0,0,0
305,369,1,21,1,0,1,0,1,0,1,0,0,1
306,370,1,22,0,0,0,0,2,1,0,1,1,1
307,372,1,21,1,0,0,0,4,1,1,0,1,1
308,373,1,21,1,0,0,0,0,1,1,0,1,1
309,374,1,34,0,0,0,0,1,0,0,1,0,0
310,375,0,50,0,0,0,0,1,1,0,1,0,0
311,376,1,40,0,0,0,0,0,1,1,0,1,0
312,377,1,25,1,0,0,0,7,1,1,0,1,1
313,378,0,53,0,0,0,0,1,0,0,1,0,0
314,379,0,24,1,0,0,0,0,0,1,0,0,0
315,380,1,42,1,0,0,0,1,0,1,0,0,0
316,381,1,28,1,0,0,0,1,0,0,1,0,0
317,383,1,26,1,1,1,0,6,1,1,0,1,1
318,384,1,22,1,0,0,0,4,1,1,0,1,1
319,385,1,21,0,0,0,0,3,0,0,1,1,1
320,386,1,37,1,0,0,0,23,1,1,0,1,1
321,387,1,35,1,0,0,0,2,0,1,0,1,0
322,388,1,53,1,0,0,0,2,0,1,0,0,0
323,390,1,29,1,0,0,0,7,0,1,0,0,1
324,391,1,48,0,1,0,0,23,1,1,0,1,1
325,392,0,52,0,0,0,0,0,0,0,1,0,0
326,393,1,27,1,0,0,0,12,1,1,0,1,1
327,394,1,28,1,0,0,0,5,0,1,0,1,1
328,395,1,33,0,0,0,0,3,0,0,1,0,0
329,396,0,28,0,0,0,0,0,0,1,0,0,0
330,398,1,36,1,0,0,0,14,1,1,0,1,1
331,399,1,29,1,1,0,0,2,0,1,0,1,1
332,400,1,22,1,0,0,1,0,1,0,1,1,0
333,402,1,25,0,0,0,0,0,0,1,0,0,0
334,404,1,56,1,0,0,0,5,0,1,0,0,0
335,405,1,27,1,0,0,0,9,1,1,0,1,1
336,406,1,52,0,0,0,0,4,1,1,0,0,0
337,407,1,32,1,0,0,0,3,0,1,0,0,0
338,408,1,60,0,0,0,0,4,0,1,0,0,0
339,409,1,23,0,0,0,0,1,0,0,1,0,0
340,410,0,39,0,0,0,0,0,0,0,1,1,0
341,411,1,56,0,0,0,0,0,0,0,1,0,0
342,412,0,22,1,0,0,0,0,0,1,0,1,1
343,414,1,53,1,0,0,0,11,0,1,0,1,0
344,415,1,25,0,0,0,0,0,1,0,1,0,0
345,416,1,21,0,0,0,0,0,0,0,1,0,0
346,417,1,22,0,0,0,0,0,0,1,0,0,0
347,418,0,58,0,0,0,0,2,0,0,1,0,0
348,419,1,31,1,0,0,0,7,1,0,1,0,1
349,420,1,22,0,0,0,0,1,1,1,0,1,1
350,421,1,28,1,0,0,0,8,1,1,0,1,1
351,422,1,42,0,0,0,0,1,0,1,0,0,0
352,423,1,20,1,0,0,0,0,1,1,0,1,1
353,424,1,29,0,0,0,0,0,1,0,1,1,0
354,426,1,58,1,0,0,0,21,1,0,1,1,1
355,427,1,22,1,0,0,0,3,0,1,0,1,1
356,428,1,48,0,0,0,0,1,1,0,1,0,0
357,429,1,37,0,0,0,0,0,0,1,0,0,0
358,430,1,57,1,0,0,0,1,1,1,0,1,0
359,431,1,27,0,0,0,0,3,0,0,1,0,0
360,432,1,26,1,0,0,0,3,0,1,0,0,1
361,433,1,24,0,0,1,1,3,1,1,0,1,1
362,434,1,33,0,0,0,0,0,0,1,0,0,0
363,435,1,29,1,0,0,0,2,0,1,0,1,0
364,436,0,24,1,0,0,0,3,1,1,0,1,1
365,437,1,19,0,0,0,1,1,1,1,0,1,1
366,438,1,36,0,0,0,0,2,0,0,1,0,0
367,439,0,24,0,0,0,0,0,0,1,0,1,0
368,440,1,34,0,0,0,0,0,0,0,1,0,0
369,441,1,25,0,0,0,0,2,1,1,0,1,1
370,442,1,20,1,1,0,1,1,1,1,0,1,1
371,444,1,24,1,0,0,0,1,1,0,1,0,0
372,445,1,61,0,0,0,0,4,0,1,0,0,0
373,446,0,50,1,0,0,0,3,0,1,0,0,0
374,447,1,30,1,0,0,0,1,0,0,1,0,0
375,448,1,38,1,0,0,0,5,0,1,0,0,0
376,449,1,24,0,0,0,0,0,0,0,1,0,0
377,451,0,46,1,0,0,0,2,1,1,0,1,0
378,452,1,41,0,0,0,0,0,1,0,1,0,0
379,453,1,20,0,0,0,1,0,1,1,0,1,1
380,454,1,27,1,0,0,0,13,1,0,1,1,1
381,456,1,26,1,0,0,0,1,1,0,1,1,0
382,457,1,29,1,0,0,0,3,1,1,0,1,1
383,458,1,52,0,0,0,0,6,1,1,0,1,0
384,459,1,28,0,0,0,0,1,1,1,0,0,0
385,461,1,55,1,0,0,0,5,1,1,0,0,0
386,462,1,26,1,1,1,0,10,1,1,0,1,1
387,463,1,28,1,0,0,0,5,0,1,0,1,1
388,464,1,63,0,0,0,0,2,0,1,0,0,0
389,465,1,42,1,0,0,0,0,0,1,0,0,0
390,466,1,23,1,1,2,2,6,0,1,0,1,1
391,467,1,54,1,0,0,0,28,1,1,0,1,1
392,468,1,35,1,0,0,1,8,1,1,0,1,1
393,469,0,24,1,1,0,0,6,1,1,0,1,1
394,470,1,54,1,0,0,0,2,0,0,1,0,0
395,471,1,58,1,0,0,0,12,1,0,1,1,1
396,472,1,23,0,0,0,1,1,1,0,1,1,1
397,473,1,35,1,0,0,0,1,0,0,1,0,0
398,474,1,20,1,0,0,0,1,1,1,0,1,1
399,475,1,51,0,0,0,0,0,0,1,0,0,0
400,476,1,24,0,0,0,0,0,0,1,0,1,0
401,477,1,37,0,0,0,0,3,0,1,0,0,0
402,478,1,47,0,0,0,0,3,0,1,0,0,0
403,479,1,34,0,0,0,0,4,1,1,0,1,0
404,480,1,56,0,0,0,0,0,0,1,0,0,0
405,481,1,34,0,0,0,0,4,1,1,0,0,0
406,482,1,59,0,0,0,0,1,1,1,0,0,0
407,483,1,35,0,0,0,0,0,0,1,0,1,0
408,484,1,58,0,0,0,0,1,0,1,0,0,0
409,485,1,29,0,0,0,0,2,0,0,1,0,0
410,486,0,24,0,0,0,1,6,1,1,0,1,1
411,487,1,21,0,0,0,4,2,1,0,1,1,1
412,489,1,50,0,0,0,0,5,1,1,0,1,0
413,490,1,26,1,0,0,0,1,0,1,0,0,0
414,491,0,30,0,0,0,0,0,0,0,1,0,0
415,493,1,29,0,0,0,0,0,1,0,1,0,0
416,494,1,54,1,0,0,0,0,0,0,1,0,0
417,495,1,29,1,0,0,0,4,1,1,0,0,1
418,496,0,59,0,0,0,0,0,0,0,1,0,0
419,497,1,38,1,0,0,0,0,0,1,0,1,0
420,500,1,27,0,0,0,0,1,1,0,1,0,0
421,501,1,26,0,0,0,0,7,1,1,0,1,1
422,502,1,52,0,0,0,0,20,0,1,0,0,1
423,503,1,66,1,0,0,0,33,1,1,0,1,1
424,504,1,27,0,0,0,0,2,0,1,0,1,0
425,505,1,51,0,0,0,0,1,0,0,1,0,0
426,506,1,35,0,0,0,0,1,0,1,0,0,0
427,508,1,52,0,0,0,0,4,0,0,1,0,0
428,510,1,48,0,0,0,0,12,0,1,0,1,0
429,511,0,26,1,0,0,0,0,0,0,1,0,0
430,512,0,48,0,0,0,0,0,0,0,1,0,0
431,513,1,30,0,0,0,0,7,0,0,1,0,1
432,514,1,28,0,0,0,0,2,0,0,1,0,0
433,515,1,33,1,0,0,0,2,0,0,1,0,0
434,516,0,34,1,0,0,0,6,0,1,0,0,1
435,517,1,25,0,0,0,0,0,0,0,1,0,0
436,518,1,59,1,0,0,0,10,1,1,0,1,1
437,519,1,29,1,0,0,0,5,1,1,0,1,1
438,520,1,24,0,0,0,0,0,0,1,0,0,0
439,521,1,48,0,0,0,0,1,1,1,0,1,0
440,523,1,52,1,0,0,0,4,0,0,1,1,0
441,524,1,20,1,0,0,0,0,1,1,0,0,1
442,525,1,25,0,0,0,0,4,1,1,0,0,1
443,526,1,24,0,0,0,0,0,0,1,0,0,0
444,527,1,23,0,0,0,0,0,0,0,1,1,0
445,528,1,27,0,0,1,3,6,0,1,0,0,1
446,529,1,25,1,0,1,0,1,1,0,1,0,0
447,530,1,31,1,0,0,0,0,0,1,0,0,0
448,531,1,25,1,0,1,0,6,1,1,0,0,1
449,532,1,32,0,0,0,0,1,1,1,0,0,0
450,533,1,21,0,0,0,0,0,1,1,0,0,1
451,534,1,37,0,0,0,0,1,0,1,0,0,0
452,535,1,25,0,0,0,0,0,0,1,0,0,0
453,536,1,32,0,1,1,0,20,0,1,0,1,1
454,537,1,35,1,0,0,0,0,0,1,0,1,0
455,538,1,42,1,0,0,0,14,1,1,0,1,1
456,539,1,24,0,0,0,1,9,1,0,1,1,1
457,541,1,21,0,0,0,0,0,1,1,0,1,1
458,542,1,47,0,0,0,0,1,0,0,1,0,0
459,543,1,27,1,0,0,0,5,1,1,0,1,1
460,544,1,43,0,0,0,0,2,1,0,1,0,0
461,545,1,46,0,0,0,0,2,1,1,0,1,0
462,546,1,44,1,0,0,0,1,0,0,1,0,0
463,548,1,23,0,0,0,0,2,0,1,0,0,1
464,550,1,42,1,0,0,0,8,0,1,0,1,0
465,551,1,58,1,0,0,0,6,0,1,0,1,0
466,552,1,26,1,0,0,1,3,0,1,0,1,1
467,553,0,48,0,0,0,0,0,0,1,0,0,0
468,554,1,39,1,0,0,0,3,1,1,0,0,0
469,555,1,21,1,0,2,0,3,1,1,0,1,1
470,556,1,63,0,0,0,0,1,0,0,1,0,0
471,557,1,22,1,0,1,0,3,1,1,0,1,1
472,558,1,50,1,0,0,0,3,0,0,1,0,0
473,559,1,38,1,0,0,0,0,0,1,0,0,0
474,560,1,41,0,0,0,0,1,0,1,0,1,0
475,561,1,28,1,8,0,1,16,1,1,0,1,1
476,562,0,30,1,0,0,0,0,0,0,1,0,0
477,563,1,23,1,0,0,0,1,0,1,0,1,1
478,564,1,25,0,0,0,0,2,1,1,0,0,1
479,565,1,40,0,0,0,0,5,0,1,0,0,0
480,566,1,24,0,0,0,0,8,0,1,0,1,1
481,567,1,27,1,0,0,0,5,1,0,1,0,1
482,568,1,44,0,0,0,0,11,0,0,1,0,0
483,569,0,35,1,0,0,0,6,1,1,0,0,1
484,570,1,42,0,0,0,0,0,0,0,1,0,0
485,571,1,38,1,0,0,0,15,0,1,0,1,1
486,572,1,26,0,0,0,0,4,0,1,0,1,1
487,573,0,25,1,0,0,0,0,0,0,1,0,0
488,575,1,64,0,0,0,0,1,0,1,0,0,0
489,576,0,49,0,0,0,0,2,1,0,1,0,0
490,577,1,50,0,0,0,0,5,1,1,0,0,0
491,579,1,66,0,0,0,0,0,1,0,1,0,0
492,580,0,46,0,0,0,0,0,0,0,1,0,0
493,581,1,30,1,0,0,1,5,1,1,0,1,1
