,sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree_F,c_charge_degree_M,score_text_High,score_text_Low,score_text_Medium,two_year_recid
76,1,22,1,0,0,0,1,0,1,0,1,0,1
77,1,22,0,0,0,0,0,1,0,1,0,0,0
78,0,26,1,0,0,0,1,1,0,0,1,0,1
80,1,32,1,0,0,0,0,1,0,0,1,0,0
81,1,41,1,0,0,0,1,0,1,0,1,0,0
82,1,30,1,0,0,0,8,0,1,1,0,0,1
83,1,50,0,0,0,0,0,1,0,0,1,0,1
84,1,25,1,1,6,1,14,1,0,1,0,0,1
85,1,20,0,0,0,0,0,1,0,0,0,1,1
86,1,22,1,1,0,0,2,1,0,1,0,0,1
88,0,35,1,0,0,0,1,0,1,0,1,0,0
89,1,36,1,0,0,0,9,1,0,0,0,1,1
90,1,26,0,0,0,0,7,1,0,1,0,0,1
91,1,21,0,0,0,0,1,1,0,0,0,1,1
92,1,25,0,0,0,0,9,1,0,1,0,0,1
94,0,20,0,0,0,0,0,1,0,0,0,1,0
95,1,39,0,0,0,0,2,1,0,0,1,0,1
97,0,54,0,0,0,0,0,0,1,0,1,0,0
98,0,44,0,0,0,0,0,0,1,0,1,0,0
99,1,19,1,0,0,0,1,0,1,0,1,0,1
101,1,30,1,0,0,0,1,1,0,0,1,0,0
102,0,39,0,0,0,0,0,1,0,0,1,0,1
103,1,24,0,0,1,2,8,1,0,0,0,1,1
104,1,30,0,0,0,0,0,1,0,0,1,0,0
105,1,31,0,0,0,0,0,0,1,0,0,1,0
106,0,39,0,0,0,0,1,1,0,0,1,0,0
109,1,21,1,0,0,0,3,1,0,1,0,0,1
110,1,38,0,0,0,0,5,0,1,0,1,0,1
111,1,34,0,0,0,0,0,1,0,0,0,1,0
112,1,33,1,0,0,0,5,1,0,0,0,1,1
113,1,37,1,0,0,0,3,1,0,0,1,0,0
114,1,42,0,0,0,0,1,1,0,0,1,0,1
115,1,41,1,0,1,0,10,1,0,1,0,0,1
116,1,22,1,0,0,0,0,1,0,0,1,0,1
117,1,33,1,0,12,2,28,1,0,1,0,0,1
118,1,31,1,0,0,0,1,0,1,0,0,1,0
119,0,30,0,0,0,0,1,1,0,0,1,0,0
120,1,31,0,0,0,0,13,1,0,1,0,0,1
121,1,27,1,0,0,0,3,1,0,1,0,0,1
123,1,52,0,0,0,0,3,0,1,1,0,0,0
124,1,33,1,0,0,0,19,1,0,1,0,0,1
127,1,42,0,0,0,0,6,1,0,0,1,0,0
128,0,25,0,0,0,0,2,1,0,0,1,0,0
129,1,30,0,0,0,0,1,0,1,0,1,0,0
131,0,37,0,0,0,0,2,0,1,0,1,0,0
132,1,28,0,0,0,0,0,0,1,0,1,0,1
133,0,24,1,0,0,0,0,0,1,0,1,0,0
134,0,29,0,0,1,0,10,1,0,0,1,0,1
135,1,44,0,0,0,0,2,0,1,0,1,0,1
137,1,32,1,0,0,0,3,1,0,0,0,1,1
138,1,31,0,0,0,0,2,0,1,0,1,0,1
139,1,31,1,0,0,0,1,0,1,0,1,0,0
140,1,59,0,0,0,0,1,1,0,0,1,0,1
142,0,20,1,1,0,0,1,1,0,1,0,0,0
143,0,43,0,0,0,0,0,0,1,0,1,0,0
144,1,38,1,1,1,0,9,1,0,1,0,0,1
145,1,32,1,0,0,0,11,1,0,0,0,1,1
146,1,33,1,0,0,0,8,0,1,0,0,1,1
147,0,31,1,0,0,0,0,1,0,0,1,0,1
148,0,33,1,0,0,0,7,1,0,1,0,0,1
149,1,27,1,0,0,0,2,1,0,1,0,0,1
150,0,20,1,0,0,0,0,1,0,0,0,1,0
151,0,26,0,0,0,0,0,0,1,0,0,1,0
152,0,61,1,0,0,0,1,1,0,0,1,0,1
153,1,52,0,0,0,0,13,1,0,0,0,1,1
154,1,63,0,0,0,0,1,1,0,0,1,0,0
155,0,32,1,0,0,0,4,1,0,1,0,0,1
156,1,29,0,0,0,0,1,1,0,0,1,0,0
158,0,26,1,0,0,0,2,0,1,0,1,0,1
160,1,39,0,1,0,0,1,0,1,0,1,0,0
161,0,30,0,0,0,0,3,1,0,0,0,1,1
162,1,30,1,0,0,0,1,1,0,0,0,1,0
163,1,48,0,0,0,0,2,0,1,0,1,0,0
164,1,22,1,0,0,0,1,1,0,0,1,0,0
165,1,46,0,0,0,0,6,1,0,0,1,0,1
167,1,31,0,0,0,0,0,1,0,0,0,1,0
168,1,25,1,0,0,0,1,0,1,0,1,0,1
169,1,23,0,0,0,0,0,1,0,0,1,0,0
170,0,32,1,0,0,0,5,1,0,0,0,1,0
171,1,52,0,0,0,0,2,0,1,0,1,0,0
172,1,62,1,0,0,0,8,1,0,0,1,0,0
175,1,31,0,0,0,0,8,1,0,1,0,0,1
176,1,28,1,0,0,0,6,0,1,0,0,1,1
177,1,54,0,0,0,0,2,1,0,0,1,0,0
178,1,58,0,0,0,0,0,1,0,0,1,0,0
179,1,78,0,0,0,0,1,0,1,0,1,0,1
180,1,56,0,0,0,0,0,1,0,0,1,0,0
181,1,24,0,0,0,0,0,1,0,0,1,0,0
183,1,22,1,0,0,0,1,1,0,0,0,1,1
184,1,47,1,0,0,0,23,0,1,1,0,0,1
185,1,23,1,0,0,0,0,0,1,0,1,0,1
186,1,57,0,0,0,0,1,1,0,0,1,0,0
188,1,66,1,0,0,0,3,1,0,0,1,0,0
189,1,45,0,0,0,0,8,0,1,0,1,0,1
192,1,37,1,0,0,0,2,0,1,1,0,0,1
193,1,39,0,0,0,0,0,1,0,0,1,0,1
194,1,26,1,0,0,0,9,1,0,1,0,0,1
195,1,45,0,0,0,0,2,1,0,0,1,0,0
196,1,23,1,0,0,0,0,1,0,0,1,0,1
197,1,34,1,0,0,0,2,0,1,0,1,0,0
198,0,23,1,0,0,0,1,0,1,0,1,0,0
199,1,36,0,0,0,0,2,0,1,0,1,0,1
200,1,50,0,0,0,0,1,1,0,0,1,0,0
201,0,37,0,0,0,0,0,0,1,0,1,0,0
202,1,44,0,0,0,0,4,0,1,0,1,0,0
203,0,35,1,0,1,0,23,1,0,1,0,0,1
204,1,24,0,0,0,0,5,1,0,0,0,1,1
205,1,26,1,0,0,0,2,1,0,1,0,0,1
206,1,27,1,0,0,0,0,0,1,0,1,0,0
207,0,28,1,0,0,0,0,1,0,1,0,0,0
209,0,28,0,0,0,0,7,1,0,1,0,0,1
210,1,38,1,0,0,0,2,1,0,0,1,0,0
212,0,28,1,0,0,0,1,1,0,1,0,0,0
213,1,56,0,0,0,0,7,1,0,0,1,0,1
214,1,38,1,0,0,0,15,1,0,1,0,0,0
215,1,28,1,0,0,0,2,0,1,0,0,1,0
219,0,51,0,0,0,0,0,0,1,0,1,0,1
220,1,51,0,0,0,0,0,0,1,0,1,0,0
221,1,36,0,0,0,0,1,0,1,0,1,0,1
222,1,48,1,0,0,0,0,1,0,0,1,0,0
223,1,37,0,0,0,0,4,1,0,0,1,0,1
224,0,30,1,0,0,0,2,1,0,0,0,1,0
225,0,41,1,0,0,0,5,0,1,0,0,1,0
226,1,27,1,0,0,0,11,1,0,1,0,0,1
227,1,37,1,0,0,0,0,0,1,0,1,0,0
228,1,33,0,0,0,0,4,1,0,0,1,0,1
229,1,54,1,0,0,0,11,1,0,1,0,0,0
230,1,23,1,0,0,0,2,1,0,1,0,0,0
232,1,41,1,0,0,0,0,0,1,0,1,0,0
233,1,52,0,0,0,0,0,1,0,0,1,0,0
234,1,43,0,0,0,0,13,1,0,0,1,0,1
235,1,52,1,0,0,0,0,1,0,0,1,0,0
236,1,28,0,0,0,0,1,1,0,0,1,0,0
237,1,30,1,0,0,2,11,0,1,1,0,0,1
238,1,28,0,0,0,0,1,1,0,0,0,1,0
239,1,22,1,0,0,0,0,1,0,0,1,0,0
240,1,30,1,0,0,0,4,1,0,0,1,0,0
241,1,25,0,0,0,0,4,1,0,0,1,0,0
242,1,31,0,0,0,0,0,1,0,1,0,0,1
243,1,37,0,0,0,0,0,1,0,0,1,0,1
244,1,32,1,0,1,0,14,1,0,1,0,0,0
246,1,53,0,0,0,0,1,0,1,0,1,0,0
247,1,28,1,0,0,0,25,1,0,1,0,0,1
248,1,44,0,0,0,0,8,0,1,0,0,1,1
249,1,25,1,0,0,0,0,1,0,0,1,0,0
250,1,22,0,0,0,1,1,0,1,1,0,0,1
251,0,37,0,0,0,0,0,0,1,0,1,0,0
252,0,40,0,0,0,0,3,1,0,0,1,0,0
258,0,31,0,0,0,0,0,0,1,0,1,0,0
259,1,23,0,0,0,1,1,1,0,0,0,1,1
260,0,23,0,0,0,4,5,1,0,0,0,1,1
261,1,24,0,0,0,0,0,0,1,1,0,0,0
262,1,29,1,0,0,0,1,0,1,0,1,0,0
263,1,20,1,0,0,0,1,1,0,1,0,0,1
264,1,30,1,0,0,0,2,1,0,0,0,1,1
265,1,39,0,0,0,0,0,1,0,0,1,0,0
266,1,27,1,0,0,0,4,1,0,0,1,0,0
268,0,37,1,0,0,0,2,1,0,0,1,0,0
269,1,20,1,0,0,0,0,1,0,1,0,0,0
270,1,22,0,0,0,1,0,1,0,0,0,1,0
271,0,52,1,0,0,0,0,1,0,0,1,0,0
272,0,23,1,0,0,0,0,1,0,0,1,0,1
273,0,48,1,0,0,0,0,1,0,0,1,0,0
275,1,25,0,0,0,0,0,1,0,0,0,1,0
276,1,27,0,0,0,0,0,1,0,0,0,1,1
277,1,30,1,0,0,0,11,1,0,0,0,1,1
278,1,22,1,0,1,1,3,0,1,1,0,0,1
279,0,22,0,0,0,0,1,1,0,0,1,0,0
282,0,41,1,0,0,0,2,0,1,0,1,0,0
283,0,25,0,0,0,0,0,1,0,0,1,0,0
285,1,52,1,0,0,0,3,1,0,0,0,1,1
286,1,43,1,0,0,0,0,1,0,0,1,0,0
287,1,37,0,0,0,0,3,1,0,0,1,0,0
289,1,70,0,0,0,0,1,0,1,0,1,0,0
291,1,46,0,0,0,0,3,1,0,0,1,0,0
292,1,21,1,0,0,0,0,0,1,1,0,0,1
293,1,26,1,0,0,0,1,0,1,1,0,0,1
294,1,38,0,0,0,0,3,1,0,0,1,0,1
295,1,34,0,0,0,0,5,0,1,0,1,0,0
297,1,34,1,0,0,0,5,0,1,0,1,0,0
298,1,23,0,0,0,0,0,1,0,0,0,1,1
299,1,34,1,0,0,0,5,1,0,0,1,0,1
301,1,39,1,0,0,0,6,1,0,0,1,0,1
302,1,24,0,0,0,0,0,1,0,0,1,0,0
304,1,58,0,0,0,0,2,1,0,0,1,0,0
305,0,21,1,0,0,0,0,0,1,0,0,1,0
307,1,23,1,0,0,1,4,0,1,1,0,0,1
308,1,62,0,0,0,0,0,1,0,0,1,0,0
310,1,37,0,0,0,0,5,1,0,0,1,0,0
311,1,43,0,0,0,0,2,1,0,0,1,0,1
312,0,32,1,0,0,0,5,1,0,0,1,0,0
313,1,23,0,0,0,0,0,1,0,0,1,0,0
314,1,27,1,0,0,0,0,0,1,0,1,0,0
315,1,44,0,0,0,0,0,0,1,0,1,0,1
316,1,28,0,0,0,0,3,0,1,0,1,0,1
317,0,42,0,0,0,0,0,1,0,0,1,0,0
318,1,24,0,0,1,0,9,1,0,1,0,0,1
319,1,27,1,0,0,0,0,1,0,0,1,0,0
320,1,20,1,0,0,0,0,1,0,1,0,0,1
321,0,51,0,0,0,0,0,0,1,0,1,0,0
322,1,56,0,0,0,0,0,0,1,0,1,0,0
323,1,29,1,0,0,0,7,1,0,1,0,0,0
324,1,20,1,0,0,0,0,1,0,1,0,0,1
326,1,27,0,0,0,0,8,1,0,0,0,1,0
327,1,24,1,0,1,0,2,1,0,1,0,0,1
328,1,53,0,0,0,0,36,1,0,0,0,1,1
329,1,28,0,0,0,0,2,0,1,0,1,0,1
331,1,21,0,0,1,0,3,1,0,0,0,1,0
332,0,36,1,0,0,0,0,1,0,0,0,1,0
333,0,25,0,0,0,0,2,0,1,0,1,0,1
334,0,23,0,0,0,0,1,0,1,0,1,0,0
335,1,28,0,0,0,0,1,1,0,0,0,1,0
336,0,21,1,0,0,0,0,1,0,1,0,0,1
337,1,36,0,0,0,0,0,0,1,0,1,0,0
338,1,24,1,0,0,0,0,1,0,0,1,0,0
340,1,30,0,0,0,0,1,1,0,0,1,0,1
341,1,29,1,0,0,0,0,1,0,0,1,0,0
342,0,30,0,0,0,0,0,0,1,0,0,1,0
343,1,51,0,0,0,0,1,0,1,0,1,0,0
346,1,32,1,0,1,0,12,1,0,1,0,0,1
347,1,23,1,0,0,1,1,1,0,0,0,1,0
348,1,47,1,0,0,0,3,1,0,0,1,0,0
350,1,37,0,0,0,0,0,1,0,0,1,0,0
351,1,19,1,0,2,0,2,1,0,1,0,0,1
352,1,27,0,0,0,0,0,0,1,1,0,0,0
353,1,39,0,0,0,0,0,0,1,0,1,0,0
354,0,21,0,0,0,2,0,1,0,0,0,1,0
355,1,69,0,0,0,0,0,0,1,0,1,0,0
356,1,21,0,0,0,0,2,1,0,0,0,1,0
357,1,26,1,0,0,1,6,0,1,1,0,0,1
358,1,22,0,0,0,0,0,1,0,0,1,0,0
359,0,23,1,0,0,0,0,1,0,0,0,1,1
360,1,49,1,0,0,0,3,1,0,0,0,1,0
361,1,29,1,0,0,1,2,0,1,0,1,0,0
362,0,60,0,0,0,0,0,0,1,0,1,0,0
364,1,23,1,2,0,0,3,1,0,1,0,0,1
366,0,20,0,1,0,0,1,1,0,0,1,0,0
367,1,36,0,0,0,0,1,1,0,0,1,0,0
368,1,30,0,0,0,0,0,1,0,0,1,0,0
369,1,21,1,0,1,0,1,1,0,0,1,0,0
370,1,22,0,0,0,0,2,0,1,0,0,1,1
372,1,21,1,0,0,0,4,1,0,1,0,0,1
373,1,21,1,0,0,0,0,1,0,0,0,1,1
374,1,34,0,0,0,0,1,0,1,0,1,0,0
375,0,50,0,0,0,0,1,0,1,0,1,0,1
376,1,40,0,0,0,0,0,1,0,0,0,1,1
377,1,25,1,0,0,0,7,1,0,1,0,0,1
378,0,53,0,0,0,0,1,0,1,0,1,0,0
379,0,24,1,0,0,0,0,1,0,0,1,0,0
380,1,42,1,0,0,0,1,1,0,0,1,0,0
381,1,28,1,0,0,0,1,0,1,0,1,0,0
383,1,26,1,1,1,0,6,1,0,1,0,0,1
384,1,22,1,0,0,0,4,1,0,1,0,0,1
385,1,21,0,0,0,0,3,0,1,0,0,1,0
386,1,37,1,0,0,0,23,1,0,1,0,0,1
387,1,35,1,0,0,0,2,1,0,0,0,1,0
388,1,53,1,0,0,0,2,1,0,0,1,0,0
390,1,29,1,0,0,0,7,1,0,0,1,0,0
391,1,48,0,1,0,0,23,1,0,1,0,0,1
392,0,52,0,0,0,0,0,0,1,0,1,0,0
393,1,27,1,0,0,0,12,1,0,1,0,0,1
394,1,28,1,0,0,0,5,1,0,1,0,0,0
395,1,33,0,0,0,0,3,0,1,0,1,0,0
396,0,28,0,0,0,0,0,1,0,0,1,0,0
398,1,36,1,0,0,0,14,1,0,0,0,1,1
399,1,29,1,1,0,0,2,1,0,0,0,1,0
400,1,22,1,0,0,1,0,0,1,1,0,0,1
402,1,25,0,0,0,0,0,1,0,0,1,0,0
404,1,56,1,0,0,0,5,1,0,0,1,0,0
405,1,27,1,0,0,0,9,1,0,1,0,0,1
406,1,52,0,0,0,0,4,1,0,0,1,0,1
407,1,32,1,0,0,0,3,1,0,0,1,0,0
408,1,60,0,0,0,0,4,1,0,0,1,0,0
409,1,23,0,0,0,0,1,0,1,0,1,0,0
410,0,39,0,0,0,0,0,0,1,0,0,1,0
411,1,56,0,0,0,0,0,0,1,0,1,0,0
412,0,22,1,0,0,0,0,1,0,0,0,1,0
414,1,53,1,0,0,0,11,1,0,0,0,1,0
415,1,25,0,0,0,0,0,0,1,0,1,0,1
416,1,21,0,0,0,0,0,0,1,0,1,0,0
417,1,22,0,0,0,0,0,1,0,0,1,0,0
418,0,58,0,0,0,0,2,0,1,0,1,0,0
419,1,31,1,0,0,0,7,0,1,0,1,0,1
420,1,22,0,0,0,0,1,1,0,0,0,1,1
421,1,28,1,0,0,0,8,1,0,0,0,1,1
422,1,42,0,0,0,0,1,1,0,0,1,0,0
423,1,20,1,0,0,0,0,1,0,0,0,1,1
424,1,29,0,0,0,0,0,0,1,0,0,1,1
426,1,58,1,0,0,0,21,0,1,0,0,1,1
427,1,22,1,0,0,0,3,1,0,0,0,1,0
428,1,48,0,0,0,0,1,0,1,0,1,0,1
429,1,37,0,0,0,0,0,1,0,0,1,0,0
430,1,57,1,0,0,0,1,1,0,0,0,1,1
431,1,27,0,0,0,0,3,0,1,0,1,0,0
432,1,26,1,0,0,0,3,1,0,0,1,0,0
433,1,24,0,0,1,1,3,1,0,1,0,0,1
434,1,33,0,0,0,0,0,1,0,0,1,0,0
435,1,29,1,0,0,0,2,1,0,0,0,1,0
436,0,24,1,0,0,0,3,1,0,1,0,0,1
437,1,19,0,0,0,1,1,1,0,1,0,0,1
438,1,36,0,0,0,0,2,0,1,0,1,0,0
439,0,24,0,0,0,0,0,1,0,0,0,1,0
440,1,34,0,0,0,0,0,0,1,0,1,0,0
441,1,25,0,0,0,0,2,1,0,0,0,1,1
442,1,20,1,1,0,1,1,1,0,1,0,0,1
444,1,24,1,0,0,0,1,0,1,0,1,0,1
445,1,61,0,0,0,0,4,1,0,0,1,0,0
446,0,50,1,0,0,0,3,1,0,0,1,0,0
447,1,30,1,0,0,0,1,0,1,0,1,0,0
448,1,38,1,0,0,0,5,1,0,0,1,0,0
449,1,24,0,0,0,0,0,0,1,0,1,0,0
451,0,46,1,0,0,0,2,1,0,1,0,0,1
452,1,41,0,0,0,0,0,0,1,0,1,0,1
453,1,20,0,0,0,1,0,1,0,1,0,0,1
454,1,27,1,0,0,0,13,0,1,1,0,0,1
456,1,26,1,0,0,0,1,0,1,0,0,1,1
457,1,29,1,0,0,0,3,1,0,0,0,1,1
458,1,52,0,0,0,0,6,1,0,0,0,1,1
459,1,28,0,0,0,0,1,1,0,0,1,0,1
461,1,55,1,0,0,0,5,1,0,0,1,0,1
462,1,26,1,1,1,0,10,1,0,1,0,0,1
463,1,28,1,0,0,0,5,1,0,1,0,0,0
464,1,63,0,0,0,0,2,1,0,0,1,0,0
465,1,42,1,0,0,0,0,1,0,0,1,0,0
466,1,23,1,1,2,2,6,1,0,0,0,1,0
467,1,54,1,0,0,0,28,1,0,1,0,0,1
468,1,35,1,0,0,1,8,1,0,0,0,1,1
469,0,24,1,1,0,0,6,1,0,1,0,0,1
470,1,54,1,0,0,0,2,0,1,0,1,0,0
471,1,58,1,0,0,0,12,0,1,0,0,1,1
472,1,23,0,0,0,1,1,0,1,0,0,1,1
473,1,35,1,0,0,0,1,0,1,0,1,0,0
474,1,20,1,0,0,0,1,1,0,1,0,0,1
475,1,51,0,0,0,0,0,1,0,0,1,0,0
476,1,24,0,0,0,0,0,1,0,1,0,0,0
477,1,37,0,0,0,0,3,1,0,0,1,0,0
478,1,47,0,0,0,0,3,1,0,0,1,0,0
479,1,34,0,0,0,0,4,1,0,0,0,1,1
480,1,56,0,0,0,0,0,1,0,0,1,0,0
481,1,34,0,0,0,0,4,1,0,0,1,0,1
482,1,59,0,0,0,0,1,1,0,0,1,0,1
483,1,35,0,0,0,0,0,1,0,0,0,1,0
484,1,58,0,0,0,0,1,1,0,0,1,0,0
485,1,29,0,0,0,0,2,0,1,0,1,0,0
486,0,24,0,0,0,1,6,1,0,1,0,0,1
487,1,21,0,0,0,4,2,0,1,1,0,0,1
489,1,50,0,0,0,0,5,1,0,0,0,1,1
490,1,26,1,0,0,0,1,1,0,0,1,0,0
491,0,30,0,0,0,0,0,0,1,0,1,0,0
493,1,29,0,0,0,0,0,0,1,0,1,0,1
494,1,54,1,0,0,0,0,0,1,0,1,0,0
495,1,29,1,0,0,0,4,1,0,0,1,0,1
496,0,59,0,0,0,0,0,0,1,0,1,0,0
497,1,38,1,0,0,0,0,1,0,0,0,1,0
500,1,27,0,0,0,0,1,0,1,0,1,0,1
501,1,26,0,0,0,0,7,1,0,0,0,1,1
502,1,52,0,0,0,0,20,1,0,0,1,0,0
503,1,66,1,0,0,0,33,1,0,0,0,1,1
504,1,27,0,0,0,0,2,1,0,0,0,1,0
505,1,51,0,0,0,0,1,0,1,0,1,0,0
506,1,35,0,0,0,0,1,1,0,0,1,0,0
508,1,52,0,0,0,0,4,0,1,0,1,0,0
510,1,48,0,0,0,0,12,1,0,0,0,1,0
511,0,26,1,0,0,0,0,0,1,0,1,0,0
512,0,48,0,0,0,0,0,0,1,0,1,0,0
513,1,30,0,0,0,0,7,0,1,0,1,0,0
514,1,28,0,0,0,0,2,0,1,0,1,0,0
515,1,33,1,0,0,0,2,0,1,0,1,0,0
516,0,34,1,0,0,0,6,1,0,0,1,0,0
517,1,25,0,0,0,0,0,0,1,0,1,0,0
518,1,59,1,0,0,0,10,1,0,0,0,1,1
519,1,29,1,0,0,0,5,1,0,0,0,1,1
520,1,24,0,0,0,0,0,1,0,0,1,0,0
521,1,48,0,0,0,0,1,1,0,0,0,1,1
523,1,52,1,0,0,0,4,0,1,0,0,1,0
524,1,20,1,0,0,0,0,1,0,0,1,0,1
525,1,25,0,0,0,0,4,1,0,0,1,0,1
526,1,24,0,0,0,0,0,1,0,0,1,0,0
527,1,23,0,0,0,0,0,0,1,1,0,0,0
528,1,27,0,0,1,3,6,1,0,0,1,0,0
529,1,25,1,0,1,0,1,0,1,0,1,0,1
530,1,31,1,0,0,0,0,1,0,0,1,0,0
531,1,25,1,0,1,0,6,1,0,0,1,0,1
532,1,32,0,0,0,0,1,1,0,0,1,0,1
533,1,21,0,0,0,0,0,1,0,0,1,0,1
534,1,37,0,0,0,0,1,1,0,0,1,0,0
535,1,25,0,0,0,0,0,1,0,0,1,0,0
536,1,32,0,1,1,0,20,1,0,1,0,0,0
537,1,35,1,0,0,0,0,1,0,0,0,1,0
538,1,42,1,0,0,0,14,1,0,0,0,1,1
539,1,24,0,0,0,1,9,0,1,1,0,0,1
541,1,21,0,0,0,0,0,1,0,0,0,1,1
542,1,47,0,0,0,0,1,0,1,0,1,0,0
543,1,27,1,0,0,0,5,1,0,1,0,0,1
544,1,43,0,0,0,0,2,0,1,0,1,0,1
545,1,46,0,0,0,0,2,1,0,0,0,1,1
546,1,44,1,0,0,0,1,0,1,0,1,0,0
548,1,23,0,0,0,0,2,1,0,0,1,0,0
550,1,42,1,0,0,0,8,1,0,0,0,1,0
551,1,58,1,0,0,0,6,1,0,0,0,1,0
552,1,26,1,0,0,1,3,1,0,0,0,1,0
553,0,48,0,0,0,0,0,1,0,0,1,0,0
554,1,39,1,0,0,0,3,1,0,0,1,0,1
555,1,21,1,0,2,0,3,1,0,0,0,1,1
556,1,63,0,0,0,0,1,0,1,0,1,0,0
557,1,22,1,0,1,0,3,1,0,0,0,1,1
558,1,50,1,0,0,0,3,0,1,0,1,0,0
559,1,38,1,0,0,0,0,1,0,0,1,0,0
560,1,41,0,0,0,0,1,1,0,0,0,1,0
561,1,28,1,8,0,1,16,1,0,1,0,0,1
562,0,30,1,0,0,0,0,0,1,0,1,0,0
563,1,23,1,0,0,0,1,1,0,0,0,1,0
564,1,25,0,0,0,0,2,1,0,0,1,0,1
565,1,40,0,0,0,0,5,1,0,0,1,0,0
566,1,24,0,0,0,0,8,1,0,1,0,0,0
567,1,27,1,0,0,0,5,0,1,0,1,0,1
568,1,44,0,0,0,0,11,0,1,0,1,0,0
569,0,35,1,0,0,0,6,1,0,0,1,0,1
570,1,42,0,0,0,0,0,0,1,0,1,0,0
571,1,38,1,0,0,0,15,1,0,0,0,1,0
572,1,26,0,0,0,0,4,1,0,0,0,1,0
573,0,25,1,0,0,0,0,0,1,0,1,0,0
575,1,64,0,0,0,0,1,1,0,0,1,0,0
576,0,49,0,0,0,0,2,0,1,0,1,0,1
577,1,50,0,0,0,0,5,1,0,0,1,0,1
579,1,66,0,0,0,0,0,0,1,0,1,0,1
580,0,46,0,0,0,0,0,0,1,0,1,0,0
581,1,30,1,0,0,1,5,1,0,0,0,1,1
