,sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,two_year_recid,c_charge_degree_F,c_charge_degree_M,risk_recid,prediction,prediction_prob
4913,1,43,0,0,0,0,1,0,1,0,0,0,0.11547350386493321
5136,0,33,1,0,0,0,3,1,0,1,0,1,0.5693984686059798
6031,1,66,0,0,0,0,0,0,0,1,0,0,0.011361627545389934
1,1,34,1,0,0,0,0,1,1,0,0,0,0.3861943920230695
1306,1,20,1,0,0,0,0,1,0,1,0,1,0.5716421583746005
4348,1,21,1,0,0,0,0,1,1,0,1,1,0.6376266419630143
3771,0,36,1,0,0,0,1,1,1,0,1,0,0.4719855885449274
1143,1,30,1,0,0,0,7,1,1,0,1,1,0.8372179368661742
1686,1,46,1,0,0,0,2,0,1,0,1,0,0.1858097748869604
5022,1,32,0,0,0,0,0,0,0,1,0,0,0.1447500346110688
5686,1,31,0,0,0,0,3,1,0,1,0,0,0.4115033621399853
4981,1,21,1,0,0,0,0,0,1,0,0,0,0.4975932163427095
3260,1,46,0,0,0,0,1,0,1,0,0,0,0.09335530210697876
5200,1,56,0,0,0,0,0,0,0,1,0,0,0.02472274169830507
620,1,24,1,0,0,0,0,0,1,0,1,0,0.4385734109638988
3017,1,37,0,0,0,0,0,0,0,1,0,0,0.10229967817770311
6030,1,47,1,0,0,0,1,0,1,0,0,0,0.14045468675912606
1119,0,58,1,0,0,0,4,0,1,0,0,0,0.15943234040317833
3218,1,38,0,0,0,0,0,0,0,1,0,0,0.09525991191747424
1950,1,23,1,0,0,0,3,0,1,0,1,1,0.6449633631492225
2716,1,29,0,0,0,0,6,1,1,0,1,1,0.7152282286052397
5084,1,37,0,0,0,0,2,1,1,0,0,0,0.32481872800077016
1437,1,23,0,0,0,1,2,0,1,0,1,1,0.5384710614859186
2208,1,30,1,0,0,0,0,0,1,0,0,0,0.3270392040257025
1609,1,29,0,0,0,0,0,0,0,1,0,0,0.17667213578324636
516,1,28,1,0,0,0,5,1,0,1,1,1,0.7171521936577367
450,1,21,0,0,0,0,0,1,1,0,0,1,0.5060371153341373
4880,0,22,1,0,0,0,4,1,1,0,1,1,0.8532305119254754
647,0,23,1,0,0,0,0,0,1,0,1,1,0.521635466037874
1625,1,42,0,0,0,0,0,0,0,1,0,0,0.07126129453854224
1949,1,35,0,0,0,0,0,0,0,1,0,0,0.11777074715880273
5866,1,29,0,0,0,0,1,0,0,1,0,0,0.21684978128209384
1181,1,37,0,0,0,0,0,1,1,0,0,0,0.22415895245926049
1573,1,24,1,0,0,0,0,1,1,0,1,1,0.5812121211932719
1542,1,32,0,0,0,2,6,0,0,1,1,1,0.6128759143346987
4469,1,22,0,0,0,0,0,0,1,0,0,0,0.34758666125965737
6121,1,27,1,0,0,2,1,0,0,1,1,1,0.5302614662377677
4724,1,44,1,0,0,0,0,0,1,0,0,0,0.13834180753512415
4562,1,43,1,0,0,0,1,1,1,0,1,0,0.28488086317802747
675,1,30,0,0,0,0,0,0,1,0,0,0,0.22053777318755896
4457,1,24,0,0,0,0,0,0,1,0,0,0,0.3126236187147477
3920,1,45,1,1,0,0,12,1,0,1,1,1,0.8924741667345312
1076,1,53,0,0,0,0,4,0,1,0,0,0,0.11281716614129778
5607,1,54,0,0,0,0,0,0,1,0,0,0,0.04065425329788805
1130,1,20,1,0,0,1,0,1,1,0,1,1,0.7305216022972242
171,0,35,1,0,1,0,23,1,1,0,1,1,0.9976000349378276
3415,1,46,1,0,0,0,1,1,0,1,1,0,0.18044475584798544
2589,1,69,0,0,0,0,0,0,0,1,0,0,0.008982859700066077
3975,1,32,1,0,0,0,9,0,1,0,1,1,0.8044948211292945
1514,1,28,1,0,0,1,5,0,0,1,1,1,0.6701266433407975
1700,1,35,0,0,0,0,1,1,1,0,0,0,0.3039760065658335
550,1,22,1,0,0,0,1,1,1,0,0,1,0.6771944105422938
1482,0,40,1,0,0,0,0,0,1,0,0,0,0.2212744616330341
352,1,20,1,0,0,0,0,1,1,0,1,1,0.6556992609579557
667,0,37,1,0,0,0,3,0,1,0,1,0,0.4363200129794176
2901,0,37,0,0,0,0,2,1,1,0,1,0,0.3828962597106808
966,0,62,0,0,0,0,0,0,0,1,0,0,0.019933658362044557
2596,1,34,1,0,0,0,5,0,0,1,1,0,0.4702902503664724
5534,1,39,1,0,0,0,8,0,1,0,0,1,0.6470110056359163
2151,1,26,1,0,0,0,5,1,1,0,1,1,0.8091087288748974
1610,1,50,0,0,0,0,8,0,1,0,0,0,0.3089144288650226
3438,1,29,1,0,0,0,6,1,1,0,1,1,0.8118142201635374
441,1,20,1,0,0,0,0,1,1,0,0,1,0.6556992609579557
5677,1,33,0,0,0,0,0,1,0,1,1,0,0.21741590883510747
892,1,22,0,0,0,0,0,0,0,1,0,0,0.27184205845672443
3714,0,37,1,0,0,0,3,0,1,0,0,0,0.4363200129794176
4229,0,66,1,0,0,0,11,1,1,0,1,1,0.515982155413456
2215,0,50,0,0,0,0,2,1,1,0,0,0,0.1815786600216121
4840,1,31,1,0,0,0,9,1,1,0,1,1,0.8877978177561839
3921,1,54,1,0,0,0,4,1,1,0,0,0,0.26390729915226274
777,1,22,1,0,0,0,1,1,1,0,1,1,0.6771944105422938
5323,1,30,0,0,0,0,0,0,1,0,0,0,0.22053777318755896
4468,1,41,1,0,0,0,14,1,1,0,1,1,0.9277110275263467
6093,1,25,0,4,0,0,5,0,0,1,1,1,0.9542060807499522
5221,1,30,1,0,0,0,10,1,1,0,1,1,0.9170169523760797
4120,1,21,0,0,0,1,0,1,0,1,1,1,0.5054000486157015
166,0,23,1,0,0,0,1,0,0,1,0,0,0.4964757197447518
5441,1,42,0,0,0,0,0,0,0,1,0,0,0.07126129453854224
2063,1,42,0,0,0,0,1,0,1,0,0,0,0.12380265913080599
1263,1,25,1,0,0,0,8,1,0,1,1,1,0.8735284362518918
1331,1,32,0,0,0,0,2,1,0,1,1,0,0.3336323185232097
5351,0,25,1,0,0,0,2,0,0,1,0,1,0.5206442736317647
381,1,26,1,0,0,0,1,1,0,1,1,1,0.5172032623657604
5077,1,50,0,0,0,0,5,0,1,0,1,0,0.17221399450769956
3140,1,39,0,0,0,0,1,0,1,0,0,0,0.15192579885915397
3509,1,24,1,0,0,0,7,1,1,0,1,1,0.8920953787540561
5888,1,39,1,0,0,0,3,1,1,0,0,0,0.47650124964642515
233,0,22,0,0,0,0,1,0,1,0,0,0,0.46996513982365495
2159,1,32,0,0,0,0,0,0,0,1,0,0,0.1447500346110688
6053,1,40,0,0,0,0,0,0,1,0,0,0,0.11368671590151062
2387,1,51,0,0,0,0,2,0,1,0,0,0,0.08211562184049147
2333,1,59,0,0,0,0,0,0,1,0,0,0,0.02774149494851305
2222,1,43,1,0,0,0,4,1,0,1,1,0,0.3749138855868951
5521,1,39,0,0,0,0,2,0,1,0,0,0,0.18775917217889168
5548,1,31,1,0,0,0,1,0,0,1,0,0,0.2887609961519508
5991,1,43,1,0,1,0,23,0,1,0,1,1,0.9897267082359243
5260,1,32,1,0,0,0,4,1,1,0,0,1,0.6714249424840701
1639,1,36,1,0,0,0,2,0,1,0,0,0,0.3348384169726422
1189,1,22,1,0,0,0,3,1,1,0,1,1,0.7774359714087793
1916,0,42,0,0,0,0,0,0,0,1,0,0,0.0900492916830594
4401,1,21,1,0,0,0,0,1,0,1,0,1,0.5521707744024813
3843,0,23,1,0,1,0,1,0,0,1,1,1,0.6083080409465218
2920,1,31,0,0,0,0,0,0,0,1,0,0,0.15482129685203053
3749,1,27,1,0,0,0,12,1,1,0,1,1,0.9588966840032034
4608,1,31,0,0,0,0,3,1,0,1,0,0,0.4115033621399853
1564,1,27,0,0,1,3,4,1,0,1,0,1,0.8490507401833793
3768,0,51,0,0,0,0,0,0,0,1,0,0,0.046308574024285884
4553,1,21,0,0,0,0,1,0,1,0,0,0,0.4266294700935307
4711,1,27,1,0,0,0,7,1,1,0,1,1,0.8670356156029626
429,0,26,1,0,0,0,0,0,0,1,0,0,0.3760464822216855
3967,0,24,0,0,0,0,0,0,1,0,1,0,0.36971465254276886
1036,1,22,1,0,0,0,0,0,1,0,1,0,0.47783052586633895
3531,1,23,0,0,0,0,3,1,0,1,1,1,0.5683486678723647
2360,1,31,0,0,0,0,0,0,1,0,1,0,0.20723981529218607
3211,1,23,1,0,1,0,2,1,1,0,1,1,0.7975483676329577
1544,1,21,1,0,0,0,3,1,1,0,1,1,0.7908233202321454
3213,1,30,0,0,0,0,0,0,0,1,0,0,0.1654577229409389
2463,0,53,1,0,0,0,10,1,1,0,0,1,0.6979229378128143
1198,0,30,1,0,0,0,8,1,1,0,1,1,0.8953929932894726
25,1,26,1,0,0,1,5,1,1,0,1,1,0.8578215519606739
5809,1,30,1,0,0,0,0,0,0,1,0,0,0.2540287764553437
5014,1,41,1,0,0,0,0,0,1,0,0,0,0.16913015798225206
5917,1,34,0,0,0,0,11,0,1,0,0,1,0.7730054372721515
2272,0,33,0,0,0,0,2,0,1,0,0,0,0.3239796118344636
5762,1,62,1,0,0,0,0,0,0,1,0,0,0.026372082412378713
3510,1,32,0,0,0,0,0,0,0,1,0,0,0.1447500346110688
5143,1,21,0,1,0,0,4,1,1,0,1,1,0.8569358883701572
5909,0,27,1,0,1,0,1,0,1,0,0,1,0.6176068129670338
1859,1,59,0,0,0,0,0,0,1,0,0,0,0.02774149494851305
511,1,36,0,0,0,0,1,1,0,1,1,0,0.22042752946772454
2987,1,37,1,0,0,0,3,1,1,0,0,1,0.5160328611986845
5088,1,59,0,0,0,0,2,1,0,1,0,0,0.05584335839226676
4294,1,33,0,0,0,0,1,0,1,0,0,0,0.2235802830247294
3049,0,21,1,0,0,0,0,1,1,0,1,1,0.6941341720335842
84,0,44,0,0,0,0,0,0,0,1,0,0,0.07789833086160108
2161,1,61,0,0,0,0,0,0,0,1,0,0,0.016781692771892946
1381,1,32,1,0,0,0,1,1,1,0,1,0,0.4874574978051288
1488,1,27,1,0,0,0,0,1,1,0,1,1,0.5225907707984305
3163,1,40,1,0,0,0,3,0,1,0,1,0,0.3212837995719625
5880,1,27,1,0,0,0,15,1,1,0,1,1,0.980439946747057
3501,1,27,0,0,0,0,1,0,1,0,0,0,0.31642081516377935
2758,1,56,0,0,0,0,10,1,0,1,0,0,0.3656552509964322
133,1,29,0,0,0,0,1,0,1,0,0,0,0.2832317262717567
5015,1,21,1,0,0,0,0,0,1,0,1,0,0.4975932163427095
4066,0,39,0,0,0,0,0,0,0,1,0,0,0.11148052826614537
1603,1,36,0,0,0,0,0,0,0,1,0,0,0.10979655236399379
985,1,28,1,0,0,0,9,1,1,0,1,1,0.909353633126427
3610,0,63,1,0,0,0,1,0,1,0,0,0,0.05610343082043783
5196,0,25,1,0,0,1,0,0,0,1,0,0,0.4814658962149324
850,1,59,0,0,0,0,1,0,0,1,0,0,0.025150980919691177
2057,1,19,0,0,0,0,0,1,0,1,1,0,0.4567917717011408
5525,1,41,1,0,0,0,6,0,1,0,0,0,0.4844625977227974
228,0,48,1,0,0,0,0,0,1,0,0,0,0.13111616383464053
4574,1,61,0,0,0,0,0,0,0,1,0,0,0.016781692771892946
3391,1,45,1,0,0,0,11,0,1,0,0,1,0.7101454761117344
4589,0,38,0,0,0,0,1,1,0,1,1,0,0.23740608913192715
685,1,30,1,0,0,0,17,1,1,0,1,1,0.9850364841676691
2429,1,40,0,0,0,0,4,1,1,0,0,0,0.38718458536585487
4502,1,47,0,0,0,0,0,1,0,1,0,0,0.08406821146747125
3997,1,56,0,0,0,0,1,0,0,1,0,0,0.031674415540897394
2598,1,21,1,0,0,0,0,0,1,0,1,0,0.4975932163427095
1827,1,29,1,0,0,0,0,0,1,0,0,0,0.34468204689714793
4001,1,34,0,0,0,0,1,0,1,0,0,0,0.21014832948823625
506,1,31,1,0,0,0,3,1,0,1,1,1,0.5456659357001094
4858,1,35,1,0,0,0,16,1,1,0,1,1,0.9717108576992466
2888,1,54,1,0,0,0,11,0,1,0,1,1,0.5458981423664306
3020,1,59,0,0,0,0,2,0,1,0,0,0,0.04535521729505142
2860,1,27,0,0,0,0,0,1,0,1,0,0,0.30871449635838666
5030,0,43,0,0,0,0,0,0,1,0,0,0,0.11542262016537394
3444,1,24,0,0,0,2,8,1,1,0,1,1,0.9263892882629203
4986,0,27,0,0,0,0,5,1,1,0,1,1,0.7462352224655033
3719,0,30,0,0,0,0,4,0,1,0,1,1,0.5029155346924148
1209,1,41,1,0,0,0,0,0,0,1,0,0,0.1248330940722412
4416,0,23,1,0,0,0,2,1,1,0,1,1,0.7633581166624313
5114,0,21,1,0,0,0,0,0,0,1,1,0,0.4723236242528289
3746,1,32,1,0,1,0,5,0,1,0,0,1,0.7003938565237918
5415,1,22,0,0,0,0,1,1,1,0,0,1,0.5498290282541076
468,1,39,1,0,0,0,3,1,1,0,0,0,0.47650124964642515
1085,1,26,0,0,0,0,2,1,1,0,1,1,0.5345656791579361
2714,0,32,1,0,0,0,3,0,1,0,0,1,0.5348020333622387
3690,1,34,1,1,0,0,10,1,1,0,1,1,0.9443922029965871
1616,1,58,1,0,0,0,1,0,1,0,0,0,0.06406090280400685
5499,1,53,1,0,0,0,20,0,1,0,1,1,0.9280872495501954
1579,1,25,0,0,0,1,1,0,1,0,0,0,0.43561743939581093
4213,1,44,0,0,0,0,3,0,1,0,1,0,0.1672502584466079
454,1,35,1,0,0,0,0,0,1,0,1,0,0.24654005888045397
3552,1,30,1,0,0,1,6,1,0,1,1,1,0.7990206119617022
3469,1,25,1,0,0,0,1,0,1,0,1,0,0.4822266107291222
4467,1,33,1,4,0,0,12,1,1,0,1,1,0.9965285217280995
1075,1,28,1,0,0,0,0,0,1,0,0,0,0.3627636077224991
237,1,43,1,0,0,0,0,0,1,0,0,0,0.14804438455013552
5838,0,45,0,0,0,0,0,0,0,1,0,0,0.07240231539467369
2777,1,52,0,0,0,0,3,0,1,0,0,0,0.09637976832323526
5083,1,22,0,0,0,0,0,1,1,0,0,0,0.48626364911988484
5599,0,24,1,0,0,0,2,1,1,0,1,1,0.7487714001056879
5439,1,27,1,0,0,0,8,1,1,0,1,1,0.8937791134519634
4915,1,26,1,0,0,0,8,1,0,1,0,1,0.8645274856813138
1737,1,28,1,0,0,0,2,0,0,1,0,0,0.3991175306710125
2548,1,24,0,0,0,0,0,1,1,0,0,0,0.446906671853847
2285,1,24,0,0,0,0,0,1,1,0,1,0,0.446906671853847
4916,1,21,1,0,0,0,1,0,1,0,0,1,0.5610222773020141
1729,0,32,0,0,0,0,0,0,0,1,0,0,0.17917535374679547
1974,1,38,1,0,0,0,3,0,1,0,1,0,0.3567127566004812
3365,1,58,0,0,0,0,5,1,1,0,0,0,0.16407946573529827
1167,1,44,0,0,0,0,0,0,0,1,0,0,0.061474253487216225
3305,1,27,1,0,0,0,2,0,1,0,0,1,0.5063991249731193
4850,1,59,0,0,0,0,0,0,1,0,0,0,0.02774149494851305
3451,1,44,0,0,0,0,6,1,1,0,1,0,0.43395827988149305
5331,1,29,0,0,0,0,1,0,0,1,1,0,0.21684978128209384
1305,1,24,1,0,0,0,0,1,1,0,0,1,0.5812121211932719
5314,1,38,1,0,0,0,7,0,0,1,1,1,0.5186073245108457
1524,1,25,1,0,0,0,4,1,1,0,1,1,0.7804685621414775
2455,1,56,0,0,0,0,0,1,0,1,0,0,0.04309516246138629
961,1,37,0,0,0,0,0,0,0,1,0,0,0.10229967817770311
661,1,24,0,0,0,0,1,1,0,1,0,0,0.42217033412539884
1282,1,31,0,0,0,0,2,1,1,0,0,0,0.4360863824499829
978,1,21,1,0,0,0,0,1,1,0,1,1,0.6376266419630143
1185,1,33,1,0,0,0,0,1,1,0,0,0,0.405107425624227
2767,1,23,1,0,0,0,6,1,1,0,1,1,0.8739665840676717
1975,1,23,0,0,0,0,0,0,1,0,0,0,0.3298699824351226
1419,1,37,1,2,3,0,24,0,1,0,1,1,0.9995466568490801
2881,0,31,1,0,0,0,3,0,1,0,1,1,0.5544191965657976
2555,1,24,1,0,0,1,2,1,1,0,0,1,0.7668686336844934
73,1,25,1,1,6,1,14,1,1,0,1,1,0.9995207729245413
3234,0,53,0,0,0,0,0,0,0,1,0,0,0.03980167807585896
4497,1,49,0,0,0,0,8,0,1,0,0,0,0.3260532312959048
2244,1,21,1,0,0,0,1,0,1,0,1,1,0.5610222773020141
2445,1,66,0,0,0,0,0,0,1,0,0,0,0.01613568857155307
4735,1,21,0,0,0,0,0,1,1,0,1,1,0.5060371153341373
2342,0,32,1,0,0,0,0,0,1,0,0,0,0.3485579656135156
4518,1,41,0,0,0,0,0,0,0,1,0,0,0.07667785558537671
185,1,48,1,0,0,0,0,0,1,0,0,0,0.10474623050809291
3834,1,27,0,0,0,0,7,1,1,0,1,1,0.7915131508899557
5333,1,35,1,0,0,0,6,1,1,0,1,1,0.7285322700227682
5474,1,38,1,0,0,0,0,1,1,0,0,0,0.3143688329577403
3359,0,39,1,0,0,0,4,0,1,0,1,0,0.4602368158602617
2296,1,41,1,0,0,0,25,1,1,0,1,1,0.9953041976816653
3443,1,20,0,0,0,0,1,1,0,1,1,1,0.500641302328702
5460,1,32,1,0,0,0,4,1,1,0,0,1,0.6714249424840701
3169,0,23,0,0,0,0,0,0,0,1,1,0,0.30789801108990833
5584,0,41,1,0,0,0,2,1,1,0,1,0,0.43713928921376516
1369,1,44,1,0,0,0,6,0,1,0,1,0,0.4256806386402551
3319,1,25,1,0,0,0,4,1,0,1,0,1,0.7135659533674367
41,1,35,1,1,0,4,13,1,1,0,1,1,0.992827211312804
5767,1,53,0,0,0,0,0,0,0,1,0,0,0.031138651383088255
383,1,52,0,0,0,0,6,1,1,0,1,0,0.2893402710480282
5431,1,23,1,0,0,0,1,1,1,0,1,1,0.6596644550828585
5974,0,29,1,0,1,0,7,1,1,0,1,1,0.9187531134560867
89,1,30,0,0,0,0,0,0,1,0,0,0,0.22053777318755896
1087,1,21,0,0,0,0,0,0,1,0,1,0,0.3657355547537916
724,1,24,0,0,2,0,3,1,1,0,0,1,0.8115703868511137
3304,1,40,1,0,0,0,13,0,1,0,1,1,0.8583330537522313
2126,1,47,1,0,0,0,0,1,0,1,0,0,0.1361802010819106
1582,0,58,1,0,0,0,3,0,0,1,0,0,0.09338142121733584
5138,0,52,0,0,0,0,0,1,0,1,0,0,0.07382150830760302
599,0,46,0,0,0,0,2,0,1,0,1,0,0.14629532929755074
5245,1,36,1,0,0,0,6,0,0,1,0,0,0.4944357959786039
232,1,22,1,0,1,1,3,1,0,1,1,1,0.8458662999506131
3209,1,49,0,0,0,0,0,0,0,1,0,0,0.04223973300302408
5095,1,24,1,0,0,0,6,1,1,0,1,1,0.8649919969085542
2872,1,40,0,1,0,0,9,0,1,0,1,1,0.7284934704135368
4855,1,26,0,0,0,0,1,1,1,0,0,0,0.470918971747647
245,1,34,1,0,0,0,5,0,0,1,0,0,0.4702902503664724
3729,0,24,1,0,0,0,3,0,1,0,1,1,0.6840192015186229
2288,1,26,1,0,0,0,13,1,0,1,1,1,0.9580374820465668
5094,1,25,1,0,0,0,5,0,1,0,1,1,0.7208402015590141
4871,1,41,1,0,0,0,19,0,1,0,1,1,0.9627463272928376
4228,1,63,0,0,0,0,5,0,0,1,0,0,0.04954476074469086
9,0,37,0,0,0,0,0,0,0,1,0,0,0.1281418499976388
2614,1,27,0,0,0,0,1,0,0,1,0,0,0.2449181779020999
1358,1,23,0,0,0,0,0,1,1,0,0,0,0.46653308826134565
2461,1,48,0,0,0,0,3,0,1,0,0,0,0.12767463175747515
4433,1,30,0,0,0,0,0,0,1,0,0,0,0.22053777318755896
3219,1,37,0,0,0,0,0,0,1,0,0,0,0.13987875882634138
5330,1,30,1,0,0,0,2,1,1,0,1,1,0.5897607348759794
4877,1,43,1,0,0,0,4,1,1,0,0,0,0.4611880831619567
6051,1,44,0,0,0,0,0,1,0,1,0,0,0.1042390482149737
5912,1,27,1,0,0,0,4,0,0,1,1,1,0.5448401474667404
4550,1,27,1,0,0,0,4,1,1,0,1,1,0.7521629054847161
758,0,29,1,0,0,0,1,0,1,0,1,0,0.46676952875749494
6122,1,61,1,0,0,0,4,1,0,1,1,0,0.1261813516059348
888,0,37,0,0,0,0,0,0,0,1,0,0,0.1281418499976388
1722,1,31,1,0,0,0,2,1,1,0,1,1,0.5704941343782257
1750,0,43,0,0,0,0,7,0,1,0,1,0,0.43734715385327805
5157,1,66,0,0,0,0,0,0,0,1,0,0,0.011361627545389934
5158,1,28,1,0,0,0,7,0,0,1,1,1,0.7038193961136904
2855,1,25,1,0,0,0,0,1,0,1,0,0,0.4732779687470638
2566,1,31,0,0,0,0,3,1,0,1,0,0,0.4115033621399853
3545,0,61,0,0,0,0,8,1,1,0,0,0,0.30021989824248557
1173,1,20,1,0,0,2,0,0,1,0,0,1,0.6847416942573203
5048,1,31,1,1,0,0,5,0,0,1,1,1,0.7036023580764259
2221,1,34,1,0,0,0,0,1,0,1,1,0,0.3059823696373999
4188,1,42,0,0,0,0,2,1,1,0,1,0,0.24466743054414633
4655,1,28,1,0,0,0,8,1,0,1,1,1,0.84490634004452
2380,1,21,1,0,0,0,0,0,1,0,0,0,0.4975932163427095
6134,1,57,0,0,0,0,14,1,1,0,0,1,0.6781708841550868
2226,0,32,1,0,0,0,0,1,0,1,0,0,0.39979694065332455
1011,1,43,0,0,0,0,0,1,0,1,0,0,0.1118603364372241
1657,1,34,0,0,0,0,0,0,1,0,0,0,0.17094130339102595
6064,0,29,1,0,0,0,2,1,1,0,0,1,0.6674171162283695
2395,1,38,0,0,0,0,0,0,0,1,0,0,0.09525991191747424
3730,0,24,1,0,0,0,1,0,1,0,0,1,0.5652326183848349
3918,0,26,0,0,0,0,2,1,1,0,1,1,0.5969865126485001
4906,1,32,0,0,0,0,3,0,1,0,1,0,0.3416532339759458
4092,1,27,1,0,0,0,2,0,1,0,1,1,0.5063991249731193
3613,1,47,0,0,0,0,28,1,1,0,1,1,0.9939739273202419
2020,1,24,1,0,1,3,4,1,1,0,1,1,0.9458877069572534
5181,1,33,0,0,0,0,0,0,0,1,0,0,0.13522909337276534
2968,1,56,1,0,0,0,3,1,0,1,0,0,0.1425160905955733
689,1,26,0,0,0,0,8,0,1,0,0,1,0.7490239589276314
3861,1,30,1,0,0,0,1,1,1,0,0,1,0.5269830595246118
5299,1,24,0,0,0,0,0,0,0,1,0,0,0.24167568212952173
62,1,39,1,0,0,0,1,0,0,1,0,0,0.177368315054644
294,1,21,0,0,0,0,2,0,1,0,1,0,0.48983212338508103
1857,1,32,1,0,0,0,14,1,1,0,1,1,0.9631739484912165
3339,1,47,0,0,0,0,2,0,1,0,0,0,0.10933929720849643
338,1,60,0,0,0,0,4,0,1,0,0,0,0.0681129249707473
3153,0,43,1,0,0,0,2,1,1,0,0,0,0.3986728329917398
501,1,27,1,0,0,0,0,0,0,1,0,0,0.30155313549348445
4451,1,28,0,0,0,0,0,0,0,1,0,0,0.1884749795015999
5587,1,24,1,0,0,0,0,0,1,0,1,0,0.4385734109638988
4638,1,29,1,0,0,0,11,1,1,0,0,1,0.9391485285294066
717,1,43,0,0,0,0,3,0,1,0,0,0,0.17856017074850042
5754,1,20,1,0,0,0,0,1,1,0,1,1,0.6556992609579557
